split,target,reference,metric,mean_diff,ci95,lower95,target_better_seeds,seeds
budget_tight_shift,recoverability_score_planner_v5,robust_margin_planner,total_cost,-0.56276,0.03269,-0.59545,10,10
budget_tight_shift,recoverability_score_planner_v5,robust_margin_planner,calibration_error,-0.47983,0.04858,-0.52841,10,10
budget_tight_shift,recoverability_score_planner_v5,robust_margin_planner,safety_utility,0.91611,0.07583,0.84028,10,10
budget_tight_shift,recoverability_score_planner_v5,contingent_replanner,goal_success,0.39687,0.04037,0.35650,10,10
budget_tight_shift,recoverability_score_planner_v5,contingent_replanner,recovery_success,-0.16690,0.05502,-0.22192,0,10
budget_tight_shift,recoverability_score_planner_v5,contingent_replanner,irreversible_failure,0.00000,0.00000,0.00000,0,10
budget_tight_shift,recoverability_score_planner_v5,contingent_replanner,damage,0.00312,0.00612,-0.00300,1,10
budget_tight_shift,recoverability_score_planner_v5,contingent_replanner,total_cost,-0.16040,0.02247,-0.18288,10,10
budget_tight_shift,recoverability_score_planner_v5,contingent_replanner,calibration_error,-0.33635,0.03586,-0.37221,10,10
budget_tight_shift,recoverability_score_planner_v5,contingent_replanner,safety_utility,0.54486,0.05577,0.48909,10,10
budget_tight_shift,recoverability_score_planner_v5,conformal_failure_filter,goal_success,-0.00625,0.03361,-0.03986,4,10
budget_tight_shift,recoverability_score_planner_v5,conformal_failure_filter,recovery_success,-0.00762,0.12134,-0.12896,4,10
budget_tight_shift,recoverability_score_planner_v5,conformal_failure_filter,irreversible_failure,0.00000,0.00000,0.00000,0,10
budget_tight_shift,recoverability_score_planner_v5,conformal_failure_filter,damage,-0.00156,0.00714,-0.00871,3,10
budget_tight_shift,recoverability_score_planner_v5,conformal_failure_filter,total_cost,0.02431,0.01968,0.00463,2,10
budget_tight_shift,recoverability_score_planner_v5,conformal_failure_filter,calibration_error,-0.01012,0.03041,-0.04053,7,10
budget_tight_shift,recoverability_score_planner_v5,conformal_failure_filter,safety_utility,-0.00851,0.04945,-0.05796,5,10
budget_tight_shift,recoverability_score_planner_v5,learned_failure_classifier,goal_success,-0.01719,0.03490,-0.05209,5,10
budget_tight_shift,recoverability_score_planner_v5,learned_failure_classifier,recovery_success,-0.06913,0.10805,-0.17717,3,10
budget_tight_shift,recoverability_score_planner_v5,learned_failure_classifier,irreversible_failure,0.00000,0.00000,0.00000,0,10
budget_tight_shift,recoverability_score_planner_v5,learned_failure_classifier,damage,0.00625,0.00677,-0.00052,1,10
budget_tight_shift,recoverability_score_planner_v5,learned_failure_classifier,total_cost,0.02531,0.01868,0.00663,3,10
budget_tight_shift,recoverability_score_planner_v5,learned_failure_classifier,calibration_error,-0.01516,0.03516,-0.05031,5,10
budget_tight_shift,recoverability_score_planner_v5,learned_failure_classifier,safety_utility,-0.03273,0.04863,-0.08136,5,10
budget_tight_shift,recoverability_score_planner_v5,learned_expected_utility,goal_success,-0.10625,0.04053,-0.14678,0,10
budget_tight_shift,recoverability_score_planner_v5,learned_expected_utility,recovery_success,-0.08782,0.11498,-0.20280,3,10
budget_tight_shift,recoverability_score_planner_v5,learned_expected_utility,irreversible_failure,0.00000,0.00000,0.00000,0,10
budget_tight_shift,recoverability_score_planner_v5,learned_expected_utility,damage,0.00625,0.00500,0.00125,0,10
budget_tight_shift,recoverability_score_planner_v5,learned_expected_utility,total_cost,0.06636,0.01876,0.04760,0,10
budget_tight_shift,recoverability_score_planner_v5,learned_expected_utility,calibration_error,0.05284,0.03600,0.01683,2,10
budget_tight_shift,recoverability_score_planner_v5,learned_expected_utility,safety_utility,-0.15625,0.05738,-0.21363,0,10
budget_tight_shift,recoverability_score_planner_v5,cvar_recovery_planner,goal_success,0.01094,0.03981,-0.02888,4,10
budget_tight_shift,recoverability_score_planner_v5,cvar_recovery_planner,recovery_success,-0.00941,0.20943,-0.21884,3,10
budget_tight_shift,recoverability_score_planner_v5,cvar_recovery_planner,irreversible_failure,0.00000,0.00000,0.00000,0,10
budget_tight_shift,recoverability_score_planner_v5,cvar_recovery_planner,damage,-0.00156,0.01403,-0.01560,1,10
budget_tight_shift,recoverability_score_planner_v5,cvar_recovery_planner,total_cost,-0.00510,0.02455,-0.02964,5,10
budget_tight_shift,recoverability_score_planner_v5,cvar_recovery_planner,calibration_error,-0.00710,0.03507,-0.04216,4,10
budget_tight_shift,recoverability_score_planner_v5,cvar_recovery_planner,safety_utility,0.01705,0.06341,-0.04636,5,10
combined_hard_shift,recoverability_score_planner_v5,robust_margin_planner,goal_success,0.67031,0.03306,0.63725,10,10
combined_hard_shift,recoverability_score_planner_v5,robust_margin_planner,recovery_success,0.28573,0.13905,0.14668,10,10
combined_hard_shift,recoverability_score_planner_v5,robust_margin_planner,irreversible_failure,-0.00156,0.00550,-0.00706,2,10
combined_hard_shift,recoverability_score_planner_v5,robust_margin_planner,damage,-0.03125,0.01118,-0.04243,10,10
combined_hard_shift,recoverability_score_planner_v5,robust_margin_planner,total_cost,-0.52018,0.04767,-0.56785,10,10
combined_hard_shift,recoverability_score_planner_v5,robust_margin_planner,calibration_error,-0.49498,0.02088,-0.51586,10,10
