split,method,metric,mean,ci95,seeds,episodes_per_seed
hard_regime_aggregate,nominal_shortest_plan,goal_success,0.68516,0.01145,10,512
hard_regime_aggregate,nominal_shortest_plan,deviation_rate,0.31504,0.01139,10,512
hard_regime_aggregate,nominal_shortest_plan,recovery_success,0.06893,0.01677,10,512
hard_regime_aggregate,nominal_shortest_plan,irreversible_failure,0.11934,0.00738,10,512
hard_regime_aggregate,nominal_shortest_plan,damage,0.18750,0.00998,10,512
hard_regime_aggregate,nominal_shortest_plan,budget_overrun,0.19394,0.00845,10,512
hard_regime_aggregate,nominal_shortest_plan,total_cost,1.35811,0.01537,10,512
hard_regime_aggregate,nominal_shortest_plan,recovery_attempts,0.19570,0.00869,10,512
hard_regime_aggregate,nominal_shortest_plan,calibration_error,0.61921,0.01004,10,512
hard_regime_aggregate,nominal_shortest_plan,predicted_unsafe,0.85165,0.00442,10,512
hard_regime_aggregate,nominal_shortest_plan,risk_upper,0.88769,0.00428,10,512
hard_regime_aggregate,nominal_shortest_plan,plan_diversity,0.14286,0.00000,10,512
hard_regime_aggregate,nominal_shortest_plan,safety_utility,0.07479,0.03370,10,512
hard_regime_aggregate,risk_averse_plan,goal_success,0.74727,0.00924,10,512
hard_regime_aggregate,risk_averse_plan,deviation_rate,0.12129,0.00629,10,512
hard_regime_aggregate,risk_averse_plan,recovery_success,0.79568,0.03559,10,512
hard_regime_aggregate,risk_averse_plan,irreversible_failure,0.00215,0.00106,10,512
hard_regime_aggregate,risk_averse_plan,damage,0.01465,0.00319,10,512
hard_regime_aggregate,risk_averse_plan,budget_overrun,0.24883,0.00924,10,512
hard_regime_aggregate,risk_averse_plan,total_cost,1.98114,0.00716,10,512
hard_regime_aggregate,risk_averse_plan,recovery_attempts,0.11914,0.00585,10,512
hard_regime_aggregate,risk_averse_plan,calibration_error,0.27479,0.00840,10,512
hard_regime_aggregate,risk_averse_plan,predicted_unsafe,0.05160,0.00150,10,512
hard_regime_aggregate,risk_averse_plan,risk_upper,0.12081,0.00333,10,512
hard_regime_aggregate,risk_averse_plan,plan_diversity,0.92857,0.04667,10,512
hard_regime_aggregate,risk_averse_plan,safety_utility,0.48035,0.01372,10,512
hard_regime_aggregate,robust_margin_planner,goal_success,0.18457,0.01173,10,512
hard_regime_aggregate,robust_margin_planner,deviation_rate,0.13848,0.00890,10,512
hard_regime_aggregate,robust_margin_planner,recovery_success,0.58979,0.02658,10,512
hard_regime_aggregate,robust_margin_planner,irreversible_failure,0.00391,0.00151,10,512
hard_regime_aggregate,robust_margin_planner,damage,0.03223,0.00416,10,512
hard_regime_aggregate,robust_margin_planner,budget_overrun,0.81289,0.01154,10,512
hard_regime_aggregate,robust_margin_planner,total_cost,2.39582,0.01003,10,512
hard_regime_aggregate,robust_margin_planner,recovery_attempts,0.13457,0.00872,10,512
hard_regime_aggregate,robust_margin_planner,calibration_error,0.70484,0.00636,10,512
hard_regime_aggregate,robust_margin_planner,predicted_unsafe,0.21322,0.00351,10,512
hard_regime_aggregate,robust_margin_planner,risk_upper,0.28242,0.00444,10,512
hard_regime_aggregate,robust_margin_planner,plan_diversity,0.31428,0.03733,10,512
hard_regime_aggregate,robust_margin_planner,safety_utility,-0.33712,0.01886,10,512
hard_regime_aggregate,expected_cost_replanner,goal_success,0.86230,0.00704,10,512
hard_regime_aggregate,expected_cost_replanner,deviation_rate,0.15683,0.00856,10,512
hard_regime_aggregate,expected_cost_replanner,recovery_success,0.52651,0.02545,10,512
