split,method,metric,mean,ci95,seeds,episodes_per_seed
adversarial_compound_shift,nominal_shortest_plan,goal_success,0.55156,0.03418,10,64
adversarial_compound_shift,nominal_shortest_plan,deviation_rate,0.44844,0.03418,10,64
adversarial_compound_shift,nominal_shortest_plan,recovery_success,0.02621,0.01933,10,64
adversarial_compound_shift,nominal_shortest_plan,irreversible_failure,0.24375,0.03658,10,64
adversarial_compound_shift,nominal_shortest_plan,damage,0.30937,0.03380,10,64
adversarial_compound_shift,nominal_shortest_plan,budget_overrun,0.20469,0.03430,10,64
adversarial_compound_shift,nominal_shortest_plan,total_cost,1.43481,0.06514,10,64
adversarial_compound_shift,nominal_shortest_plan,recovery_attempts,0.20469,0.03430,10,64
adversarial_compound_shift,nominal_shortest_plan,calibration_error,0.54824,0.03337,10,64
adversarial_compound_shift,nominal_shortest_plan,predicted_unsafe,0.99070,0.00280,10,64
adversarial_compound_shift,nominal_shortest_plan,risk_upper,0.99422,0.00223,10,64
adversarial_compound_shift,nominal_shortest_plan,plan_diversity,0.14286,0.00000,10,64
adversarial_compound_shift,nominal_shortest_plan,safety_utility,-0.43268,0.11726,10,64
adversarial_compound_shift,risk_averse_plan,goal_success,0.57500,0.02807,10,64
adversarial_compound_shift,risk_averse_plan,deviation_rate,0.17969,0.02201,10,64
adversarial_compound_shift,risk_averse_plan,recovery_success,0.81818,0.05796,10,64
adversarial_compound_shift,risk_averse_plan,irreversible_failure,0.00469,0.00654,10,64
adversarial_compound_shift,risk_averse_plan,damage,0.02344,0.00941,10,64
adversarial_compound_shift,risk_averse_plan,budget_overrun,0.42031,0.02477,10,64
adversarial_compound_shift,risk_averse_plan,total_cost,2.07114,0.02107,10,64
adversarial_compound_shift,risk_averse_plan,recovery_attempts,0.17500,0.01871,10,64
adversarial_compound_shift,risk_averse_plan,calibration_error,0.43543,0.02385,10,64
adversarial_compound_shift,risk_averse_plan,predicted_unsafe,0.07766,0.00437,10,64
adversarial_compound_shift,risk_averse_plan,risk_upper,0.14687,0.00516,10,64
adversarial_compound_shift,risk_averse_plan,plan_diversity,0.85714,0.00000,10,64
adversarial_compound_shift,risk_averse_plan,safety_utility,0.22587,0.04784,10,64
adversarial_compound_shift,robust_margin_planner,goal_success,0.14375,0.01500,10,64
adversarial_compound_shift,robust_margin_planner,deviation_rate,0.22500,0.01948,10,64
adversarial_compound_shift,robust_margin_planner,recovery_success,0.51442,0.08192,10,64
adversarial_compound_shift,robust_margin_planner,irreversible_failure,0.00625,0.00500,10,64
adversarial_compound_shift,robust_margin_planner,damage,0.06250,0.01514,10,64
adversarial_compound_shift,robust_margin_planner,budget_overrun,0.85312,0.01595,10,64
adversarial_compound_shift,robust_margin_planner,total_cost,2.49832,0.02200,10,64
adversarial_compound_shift,robust_margin_planner,recovery_attempts,0.21875,0.02092,10,64
adversarial_compound_shift,robust_margin_planner,calibration_error,0.66931,0.01382,10,64
adversarial_compound_shift,robust_margin_planner,predicted_unsafe,0.30012,0.01268,10,64
adversarial_compound_shift,robust_margin_planner,risk_upper,0.36933,0.01278,10,64
adversarial_compound_shift,robust_margin_planner,plan_diversity,0.28571,0.00000,10,64
adversarial_compound_shift,robust_margin_planner,safety_utility,-0.44065,0.03499,10,64
adversarial_compound_shift,expected_cost_replanner,goal_success,0.77344,0.02711,10,64
adversarial_compound_shift,expected_cost_replanner,deviation_rate,0.21406,0.02664,10,64
adversarial_compound_shift,expected_cost_replanner,recovery_success,0.60451,0.09434,10,64
adversarial_compound_shift,expected_cost_replanner,irreversible_failure,0.01719,0.01066,10,64
adversarial_compound_shift,expected_cost_replanner,damage,0.05156,0.01585,10,64
adversarial_compound_shift,expected_cost_replanner,budget_overrun,0.20938,0.02550,10,64
adversarial_compound_shift,expected_cost_replanner,total_cost,1.87295,0.02887,10,64
adversarial_compound_shift,expected_cost_replanner,recovery_attempts,0.19687,0.02550,10,64
adversarial_compound_shift,expected_cost_replanner,calibration_error,0.31158,0.02152,10,64
adversarial_compound_shift,expected_cost_replanner,predicted_unsafe,0.18624,0.01755,10,64
adversarial_compound_shift,expected_cost_replanner,risk_upper,0.25502,0.01700,10,64
adversarial_compound_shift,expected_cost_replanner,plan_diversity,0.80000,0.04572,10,64
adversarial_compound_shift,expected_cost_replanner,safety_utility,0.45837,0.06183,10,64
adversarial_compound_shift,contingent_replanner,goal_success,0.53125,0.04473,10,64
adversarial_compound_shift,contingent_replanner,deviation_rate,0.18281,0.03418,10,64
adversarial_compound_shift,contingent_replanner,recovery_success,0.89682,0.04716,10,64
adversarial_compound_shift,contingent_replanner,irreversible_failure,0.00000,0.00000,10,64
adversarial_compound_shift,contingent_replanner,damage,0.01094,0.00797,10,64
adversarial_compound_shift,contingent_replanner,budget_overrun,0.46875,0.04473,10,64
adversarial_compound_shift,contingent_replanner,total_cost,2.05736,0.02456,10,64
adversarial_compound_shift,contingent_replanner,recovery_attempts,0.18281,0.03418,10,64
adversarial_compound_shift,contingent_replanner,calibration_error,0.47418,0.03880,10,64
adversarial_compound_shift,contingent_replanner,predicted_unsafe,0.14327,0.01390,10,64
adversarial_compound_shift,contingent_replanner,risk_upper,0.21249,0.01481,10,64
adversarial_compound_shift,contingent_replanner,plan_diversity,0.58572,0.02800,10,64
adversarial_compound_shift,contingent_replanner,safety_utility,0.18947,0.06609,10,64
adversarial_compound_shift,receding_horizon_replanner,goal_success,0.73281,0.03306,10,64
adversarial_compound_shift,receding_horizon_replanner,deviation_rate,0.21406,0.03131,10,64
adversarial_compound_shift,receding_horizon_replanner,recovery_success,0.86039,0.04688,10,64
adversarial_compound_shift,receding_horizon_replanner,irreversible_failure,0.00000,0.00000,10,64
adversarial_compound_shift,receding_horizon_replanner,damage,0.02031,0.01295,10,64
adversarial_compound_shift,receding_horizon_replanner,budget_overrun,0.26719,0.03306,10,64
adversarial_compound_shift,receding_horizon_replanner,total_cost,1.92722,0.02276,10,64
adversarial_compound_shift,receding_horizon_replanner,recovery_attempts,0.21406,0.03131,10,64
adversarial_compound_shift,receding_horizon_replanner,calibration_error,0.32858,0.03317,10,64
adversarial_compound_shift,receding_horizon_replanner,predicted_unsafe,0.12424,0.01299,10,64
adversarial_compound_shift,receding_horizon_replanner,risk_upper,0.19345,0.01274,10,64
adversarial_compound_shift,receding_horizon_replanner,plan_diversity,0.50000,0.04667,10,64
adversarial_compound_shift,receding_horizon_replanner,safety_utility,0.46074,0.04814,10,64
adversarial_compound_shift,conformal_failure_filter,goal_success,0.75000,0.02701,10,64
adversarial_compound_shift,conformal_failure_filter,deviation_rate,0.19375,0.03170,10,64
