split,method,seed,episodes,goal_success,deviation_rate,recovery_success,irreversible_failure,damage,budget_overrun,total_cost,recovery_attempts,calibration_error,predicted_unsafe,risk_upper,plan_diversity,safety_utility
adversarial_compound_shift,robust_margin_planner,9,64,0.15625,0.20312,0.61538,0.00000,0.04688,0.84375,2.46795,0.20312,0.67671,0.29526,0.36359,0.28571,-0.39275
adversarial_compound_shift,expected_cost_replanner,0,64,0.84375,0.14062,0.88889,0.00000,0.01562,0.15625,1.81442,0.14062,0.27382,0.16528,0.23984,0.71429,0.62516
adversarial_compound_shift,expected_cost_replanner,1,64,0.81250,0.18750,0.41667,0.00000,0.04688,0.18750,1.91452,0.18750,0.28185,0.18311,0.25293,0.85714,0.53746
adversarial_compound_shift,expected_cost_replanner,2,64,0.76562,0.21875,0.78571,0.00000,0.03125,0.23438,1.89213,0.21875,0.31035,0.14204,0.21343,0.71429,0.49472
adversarial_compound_shift,expected_cost_replanner,3,64,0.81250,0.17188,0.54545,0.03125,0.03125,0.15625,1.78916,0.14062,0.28938,0.20979,0.27033,0.85714,0.52249
adversarial_compound_shift,expected_cost_replanner,4,64,0.73438,0.25000,0.62500,0.01562,0.07812,0.25000,1.90063,0.23438,0.35616,0.18097,0.25256,0.71429,0.37373
adversarial_compound_shift,expected_cost_replanner,5,64,0.78125,0.21875,0.64286,0.00000,0.03125,0.21875,1.92818,0.21875,0.31241,0.18398,0.25330,0.71429,0.51293
adversarial_compound_shift,expected_cost_replanner,6,64,0.79688,0.20312,0.61538,0.03125,0.04688,0.17188,1.85287,0.17188,0.27928,0.16405,0.22735,0.85714,0.47755
adversarial_compound_shift,expected_cost_replanner,7,64,0.75000,0.20312,0.38462,0.03125,0.07812,0.21875,1.84786,0.17188,0.31507,0.18955,0.25921,0.85714,0.37717
adversarial_compound_shift,expected_cost_replanner,8,64,0.70312,0.28125,0.61111,0.01562,0.06250,0.28125,1.91907,0.26562,0.38223,0.24625,0.31556,0.85714,0.34882
adversarial_compound_shift,expected_cost_replanner,9,64,0.73438,0.26562,0.52941,0.04688,0.09375,0.21875,1.87061,0.21875,0.31525,0.19740,0.26572,0.85714,0.31363
adversarial_compound_shift,contingent_replanner,0,64,0.40625,0.18750,0.91667,0.00000,0.03125,0.59375,2.07734,0.18750,0.57680,0.16394,0.23849,0.71429,-0.00525
adversarial_compound_shift,contingent_replanner,1,64,0.50000,0.15625,1.00000,0.00000,0.00000,0.50000,2.05664,0.15625,0.51436,0.16971,0.23953,0.57143,0.16047
adversarial_compound_shift,contingent_replanner,2,64,0.46875,0.21875,0.92857,0.00000,0.00000,0.53125,2.08677,0.21875,0.50832,0.12440,0.19579,0.57143,0.11587
adversarial_compound_shift,contingent_replanner,3,64,0.50000,0.25000,0.93750,0.00000,0.03125,0.50000,2.10184,0.25000,0.48188,0.13861,0.20011,0.57143,0.11935
adversarial_compound_shift,contingent_replanner,4,64,0.51562,0.18750,1.00000,0.00000,0.00000,0.48438,2.04577,0.18750,0.51080,0.13472,0.20631,0.57143,0.18243
adversarial_compound_shift,contingent_replanner,5,64,0.60938,0.12500,0.87500,0.00000,0.01562,0.39062,1.99963,0.12500,0.43199,0.12247,0.19179,0.57143,0.29394
adversarial_compound_shift,contingent_replanner,6,64,0.57812,0.20312,0.84615,0.00000,0.01562,0.42188,2.06066,0.20312,0.42987,0.13732,0.20162,0.57143,0.24687
