split,risk_budget,method,seed,episodes,coverage,fixed_risk_success,executed_success,false_safe_rate,irreversible_failure,damage,total_cost
combined_hard_shift,0.02,conformal_failure_filter,0,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,conformal_failure_filter,1,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,conformal_failure_filter,2,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,conformal_failure_filter,3,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,conformal_failure_filter,4,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,conformal_failure_filter,5,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,conformal_failure_filter,6,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,conformal_failure_filter,7,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,conformal_failure_filter,8,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,conformal_failure_filter,9,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_failure_classifier,0,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_failure_classifier,1,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_failure_classifier,2,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_failure_classifier,3,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_failure_classifier,4,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_failure_classifier,5,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_failure_classifier,6,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_failure_classifier,7,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_failure_classifier,8,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_failure_classifier,9,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_expected_utility,0,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_expected_utility,1,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_expected_utility,2,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_expected_utility,3,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_expected_utility,4,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_expected_utility,5,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_expected_utility,6,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_expected_utility,7,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_expected_utility,8,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,learned_expected_utility,9,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,cvar_recovery_planner,0,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,cvar_recovery_planner,1,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,cvar_recovery_planner,2,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,cvar_recovery_planner,3,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,cvar_recovery_planner,4,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,cvar_recovery_planner,5,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,cvar_recovery_planner,6,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,cvar_recovery_planner,7,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,cvar_recovery_planner,8,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,cvar_recovery_planner,9,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,recoverability_score_planner_v5,0,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,recoverability_score_planner_v5,1,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,recoverability_score_planner_v5,2,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,recoverability_score_planner_v5,3,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,recoverability_score_planner_v5,4,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,recoverability_score_planner_v5,5,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,recoverability_score_planner_v5,6,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,recoverability_score_planner_v5,7,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,recoverability_score_planner_v5,8,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,recoverability_score_planner_v5,9,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.02,oracle_recoverability_upper_bound,0,64,0.09375,0.07812,0.83333,0.00000,0.00000,0.00000,1.88109
combined_hard_shift,0.02,oracle_recoverability_upper_bound,1,64,0.15625,0.15625,1.00000,0.00000,0.00000,0.00000,1.72319
combined_hard_shift,0.02,oracle_recoverability_upper_bound,2,64,0.07812,0.06250,0.80000,0.00000,0.00000,0.00000,1.74241
combined_hard_shift,0.02,oracle_recoverability_upper_bound,3,64,0.15625,0.15625,1.00000,0.00000,0.00000,0.00000,1.75104
combined_hard_shift,0.02,oracle_recoverability_upper_bound,4,64,0.17188,0.17188,1.00000,0.00000,0.00000,0.00000,1.75887
combined_hard_shift,0.02,oracle_recoverability_upper_bound,5,64,0.12500,0.09375,0.75000,0.12500,0.00000,0.12500,1.89844
combined_hard_shift,0.02,oracle_recoverability_upper_bound,6,64,0.14062,0.10938,0.77778,0.00000,0.00000,0.00000,1.81392
combined_hard_shift,0.02,oracle_recoverability_upper_bound,7,64,0.17188,0.15625,0.90909,0.00000,0.00000,0.00000,1.79408
combined_hard_shift,0.02,oracle_recoverability_upper_bound,8,64,0.17188,0.17188,1.00000,0.00000,0.00000,0.00000,1.70332
combined_hard_shift,0.02,oracle_recoverability_upper_bound,9,64,0.18750,0.17188,0.91667,0.00000,0.00000,0.00000,1.79497
combined_hard_shift,0.05,conformal_failure_filter,0,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,conformal_failure_filter,1,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,conformal_failure_filter,2,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,conformal_failure_filter,3,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,conformal_failure_filter,4,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,conformal_failure_filter,5,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,conformal_failure_filter,6,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,conformal_failure_filter,7,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,conformal_failure_filter,8,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,conformal_failure_filter,9,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_failure_classifier,0,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_failure_classifier,1,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_failure_classifier,2,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_failure_classifier,3,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_failure_classifier,4,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_failure_classifier,5,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_failure_classifier,6,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_failure_classifier,7,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_failure_classifier,8,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_failure_classifier,9,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_expected_utility,0,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_expected_utility,1,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_expected_utility,2,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_expected_utility,3,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_expected_utility,4,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_expected_utility,5,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_expected_utility,6,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_expected_utility,7,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_expected_utility,8,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,learned_expected_utility,9,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,cvar_recovery_planner,0,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,cvar_recovery_planner,1,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,cvar_recovery_planner,2,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,cvar_recovery_planner,3,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,cvar_recovery_planner,4,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,cvar_recovery_planner,5,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,cvar_recovery_planner,6,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,cvar_recovery_planner,7,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
combined_hard_shift,0.05,cvar_recovery_planner,8,64,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
