split,risk_budget,target,reference,metric,mean_diff,ci95,lower95,seeds
adversarial_compound_shift,0.10,recoverability_score_planner_v5,learned_failure_classifier,fixed_risk_success,0.07031,0.03907,0.03124,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,learned_failure_classifier,executed_success,-0.06804,0.04766,-0.11571,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,learned_failure_classifier,false_safe_rate,0.00524,0.01695,-0.01171,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,learned_expected_utility,coverage,0.14531,0.03902,0.10630,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,learned_expected_utility,fixed_risk_success,0.08438,0.03136,0.05301,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,learned_expected_utility,executed_success,-0.08517,0.05502,-0.14019,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,learned_expected_utility,false_safe_rate,0.00492,0.01018,-0.00527,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,cvar_recovery_planner,coverage,0.36875,0.04857,0.32017,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,cvar_recovery_planner,fixed_risk_success,0.26563,0.04565,0.21997,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,cvar_recovery_planner,executed_success,0.64236,0.18133,0.46103,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,cvar_recovery_planner,false_safe_rate,0.01080,0.01083,-0.00004,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,oracle_recoverability_upper_bound,coverage,-0.60938,0.03709,-0.64647,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,oracle_recoverability_upper_bound,fixed_risk_success,-0.53281,0.04576,-0.57857,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,oracle_recoverability_upper_bound,executed_success,-0.09227,0.04275,-0.13502,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,oracle_recoverability_upper_bound,false_safe_rate,0.00135,0.01350,-0.01215,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,conformal_failure_filter,coverage,0.27969,0.04294,0.23675,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,conformal_failure_filter,fixed_risk_success,0.23125,0.04870,0.18255,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,conformal_failure_filter,executed_success,0.04045,0.05280,-0.01234,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,conformal_failure_filter,false_safe_rate,-0.00082,0.01423,-0.01504,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,learned_failure_classifier,coverage,0.00156,0.03693,-0.03537,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,learned_failure_classifier,fixed_risk_success,-0.03594,0.04612,-0.08205,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,learned_failure_classifier,executed_success,-0.04891,0.04615,-0.09506,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,learned_failure_classifier,false_safe_rate,0.00207,0.01644,-0.01437,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,learned_expected_utility,coverage,0.05469,0.02967,0.02501,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,learned_expected_utility,fixed_risk_success,0.00781,0.02552,-0.01771,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,learned_expected_utility,executed_success,-0.04761,0.03770,-0.08531,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,learned_expected_utility,false_safe_rate,0.00526,0.01116,-0.00591,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,cvar_recovery_planner,coverage,0.09844,0.04033,0.05810,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,cvar_recovery_planner,fixed_risk_success,0.10156,0.05048,0.05108,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,cvar_recovery_planner,executed_success,0.03966,0.05531,-0.01565,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,cvar_recovery_planner,false_safe_rate,-0.00158,0.01042,-0.01200,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,oracle_recoverability_upper_bound,coverage,-0.20312,0.02662,-0.22974,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,oracle_recoverability_upper_bound,fixed_risk_success,-0.21719,0.03145,-0.24864,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,oracle_recoverability_upper_bound,executed_success,-0.06462,0.03273,-0.09735,10
adversarial_compound_shift,0.20,recoverability_score_planner_v5,oracle_recoverability_upper_bound,false_safe_rate,0.00630,0.01053,-0.00423,10
