split,risk_budget,target,reference,metric,mean_diff,ci95,lower95,seeds
combined_hard_shift,0.02,recoverability_score_planner_v5,conformal_failure_filter,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,recoverability_score_planner_v5,conformal_failure_filter,fixed_risk_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,recoverability_score_planner_v5,conformal_failure_filter,executed_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,recoverability_score_planner_v5,conformal_failure_filter,false_safe_rate,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,recoverability_score_planner_v5,learned_failure_classifier,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,recoverability_score_planner_v5,learned_failure_classifier,fixed_risk_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,recoverability_score_planner_v5,learned_failure_classifier,executed_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,recoverability_score_planner_v5,learned_failure_classifier,false_safe_rate,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,recoverability_score_planner_v5,learned_expected_utility,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,recoverability_score_planner_v5,learned_expected_utility,fixed_risk_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,recoverability_score_planner_v5,learned_expected_utility,executed_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,recoverability_score_planner_v5,learned_expected_utility,false_safe_rate,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,recoverability_score_planner_v5,cvar_recovery_planner,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,recoverability_score_planner_v5,cvar_recovery_planner,fixed_risk_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,recoverability_score_planner_v5,cvar_recovery_planner,executed_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,recoverability_score_planner_v5,cvar_recovery_planner,false_safe_rate,0.00000,0.00000,0.00000,10
combined_hard_shift,0.02,recoverability_score_planner_v5,oracle_recoverability_upper_bound,coverage,-0.14531,0.02239,-0.16770,10
combined_hard_shift,0.02,recoverability_score_planner_v5,oracle_recoverability_upper_bound,fixed_risk_success,-0.13281,0.02633,-0.15914,10
combined_hard_shift,0.02,recoverability_score_planner_v5,oracle_recoverability_upper_bound,executed_success,-0.89869,0.06274,-0.96143,10
combined_hard_shift,0.02,recoverability_score_planner_v5,oracle_recoverability_upper_bound,false_safe_rate,-0.01250,0.02450,-0.03700,10
combined_hard_shift,0.05,recoverability_score_planner_v5,conformal_failure_filter,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,recoverability_score_planner_v5,conformal_failure_filter,fixed_risk_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,recoverability_score_planner_v5,conformal_failure_filter,executed_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,recoverability_score_planner_v5,conformal_failure_filter,false_safe_rate,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,recoverability_score_planner_v5,learned_failure_classifier,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,recoverability_score_planner_v5,learned_failure_classifier,fixed_risk_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,recoverability_score_planner_v5,learned_failure_classifier,executed_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,recoverability_score_planner_v5,learned_failure_classifier,false_safe_rate,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,recoverability_score_planner_v5,learned_expected_utility,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,recoverability_score_planner_v5,learned_expected_utility,fixed_risk_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,recoverability_score_planner_v5,learned_expected_utility,executed_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,recoverability_score_planner_v5,learned_expected_utility,false_safe_rate,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,recoverability_score_planner_v5,cvar_recovery_planner,coverage,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,recoverability_score_planner_v5,cvar_recovery_planner,fixed_risk_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,recoverability_score_planner_v5,cvar_recovery_planner,executed_success,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,recoverability_score_planner_v5,cvar_recovery_planner,false_safe_rate,0.00000,0.00000,0.00000,10
combined_hard_shift,0.05,recoverability_score_planner_v5,oracle_recoverability_upper_bound,coverage,-0.85000,0.02966,-0.87966,10
combined_hard_shift,0.05,recoverability_score_planner_v5,oracle_recoverability_upper_bound,fixed_risk_success,-0.72187,0.03647,-0.75834,10
combined_hard_shift,0.05,recoverability_score_planner_v5,oracle_recoverability_upper_bound,executed_success,-0.84910,0.02959,-0.87869,10
combined_hard_shift,0.05,recoverability_score_planner_v5,oracle_recoverability_upper_bound,false_safe_rate,-0.01099,0.00588,-0.01687,10
combined_hard_shift,0.10,recoverability_score_planner_v5,conformal_failure_filter,coverage,0.43125,0.05328,0.37797,10
combined_hard_shift,0.10,recoverability_score_planner_v5,conformal_failure_filter,fixed_risk_success,0.35938,0.03980,0.31958,10
combined_hard_shift,0.10,recoverability_score_planner_v5,conformal_failure_filter,executed_success,0.75055,0.18474,0.56581,10
combined_hard_shift,0.10,recoverability_score_planner_v5,conformal_failure_filter,false_safe_rate,-0.00267,0.01597,-0.01864,10
combined_hard_shift,0.10,recoverability_score_planner_v5,learned_failure_classifier,coverage,0.12344,0.03460,0.08883,10
combined_hard_shift,0.10,recoverability_score_planner_v5,learned_failure_classifier,fixed_risk_success,0.10469,0.02703,0.07766,10
combined_hard_shift,0.10,recoverability_score_planner_v5,learned_failure_classifier,executed_success,0.00976,0.05806,-0.04830,10
combined_hard_shift,0.10,recoverability_score_planner_v5,learned_failure_classifier,false_safe_rate,-0.00457,0.01485,-0.01942,10
combined_hard_shift,0.10,recoverability_score_planner_v5,learned_expected_utility,coverage,0.16406,0.02248,0.14158,10
combined_hard_shift,0.10,recoverability_score_planner_v5,learned_expected_utility,fixed_risk_success,0.13594,0.02816,0.10778,10
combined_hard_shift,0.10,recoverability_score_planner_v5,learned_expected_utility,executed_success,0.00347,0.06767,-0.06420,10
combined_hard_shift,0.10,recoverability_score_planner_v5,learned_expected_utility,false_safe_rate,-0.00314,0.01679,-0.01993,10
combined_hard_shift,0.10,recoverability_score_planner_v5,cvar_recovery_planner,coverage,0.42656,0.05936,0.36720,10
combined_hard_shift,0.10,recoverability_score_planner_v5,cvar_recovery_planner,fixed_risk_success,0.35781,0.04220,0.31561,10
combined_hard_shift,0.10,recoverability_score_planner_v5,cvar_recovery_planner,executed_success,0.76055,0.16547,0.59508,10
combined_hard_shift,0.10,recoverability_score_planner_v5,cvar_recovery_planner,false_safe_rate,0.00400,0.00784,-0.00384,10
combined_hard_shift,0.10,recoverability_score_planner_v5,oracle_recoverability_upper_bound,coverage,-0.54375,0.04468,-0.58844,10
combined_hard_shift,0.10,recoverability_score_planner_v5,oracle_recoverability_upper_bound,fixed_risk_success,-0.46719,0.04044,-0.50762,10
combined_hard_shift,0.10,recoverability_score_planner_v5,oracle_recoverability_upper_bound,executed_success,-0.00576,0.03495,-0.04072,10
combined_hard_shift,0.10,recoverability_score_planner_v5,oracle_recoverability_upper_bound,false_safe_rate,-0.00855,0.01279,-0.02133,10
combined_hard_shift,0.20,recoverability_score_planner_v5,conformal_failure_filter,coverage,0.29375,0.03286,0.26089,10
combined_hard_shift,0.20,recoverability_score_planner_v5,conformal_failure_filter,fixed_risk_success,0.21875,0.05739,0.16137,10
combined_hard_shift,0.20,recoverability_score_planner_v5,conformal_failure_filter,executed_success,-0.04192,0.05800,-0.09991,10
combined_hard_shift,0.20,recoverability_score_planner_v5,conformal_failure_filter,false_safe_rate,-0.00846,0.01040,-0.01886,10
combined_hard_shift,0.20,recoverability_score_planner_v5,learned_failure_classifier,coverage,0.05469,0.03002,0.02466,10
combined_hard_shift,0.20,recoverability_score_planner_v5,learned_failure_classifier,fixed_risk_success,0.02813,0.04278,-0.01465,10
combined_hard_shift,0.20,recoverability_score_planner_v5,learned_failure_classifier,executed_success,-0.02084,0.04117,-0.06201,10
combined_hard_shift,0.20,recoverability_score_planner_v5,learned_failure_classifier,false_safe_rate,-0.00604,0.00723,-0.01327,10
combined_hard_shift,0.20,recoverability_score_planner_v5,learned_expected_utility,coverage,0.09218,0.02939,0.06279,10
combined_hard_shift,0.20,recoverability_score_planner_v5,learned_expected_utility,fixed_risk_success,0.06094,0.04666,0.01428,10
combined_hard_shift,0.20,recoverability_score_planner_v5,learned_expected_utility,executed_success,-0.01905,0.05039,-0.06944,10
combined_hard_shift,0.20,recoverability_score_planner_v5,learned_expected_utility,false_safe_rate,-0.00136,0.01502,-0.01638,10
combined_hard_shift,0.20,recoverability_score_planner_v5,cvar_recovery_planner,coverage,0.11250,0.03841,0.07409,10
combined_hard_shift,0.20,recoverability_score_planner_v5,cvar_recovery_planner,fixed_risk_success,0.12188,0.06814,0.05373,10
combined_hard_shift,0.20,recoverability_score_planner_v5,cvar_recovery_planner,executed_success,0.03911,0.05229,-0.01317,10
combined_hard_shift,0.20,recoverability_score_planner_v5,cvar_recovery_planner,false_safe_rate,-0.00744,0.01010,-0.01754,10
combined_hard_shift,0.20,recoverability_score_planner_v5,oracle_recoverability_upper_bound,coverage,-0.11563,0.02292,-0.13854,10
combined_hard_shift,0.20,recoverability_score_planner_v5,oracle_recoverability_upper_bound,fixed_risk_success,-0.11406,0.04745,-0.16152,10
combined_hard_shift,0.20,recoverability_score_planner_v5,oracle_recoverability_upper_bound,executed_success,-0.01758,0.04033,-0.05791,10
combined_hard_shift,0.20,recoverability_score_planner_v5,oracle_recoverability_upper_bound,false_safe_rate,-0.00551,0.01377,-0.01928,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,conformal_failure_filter,coverage,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,conformal_failure_filter,fixed_risk_success,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,conformal_failure_filter,executed_success,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,conformal_failure_filter,false_safe_rate,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,learned_failure_classifier,coverage,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,learned_failure_classifier,fixed_risk_success,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,learned_failure_classifier,executed_success,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,learned_failure_classifier,false_safe_rate,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,learned_expected_utility,coverage,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,learned_expected_utility,fixed_risk_success,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,learned_expected_utility,executed_success,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,learned_expected_utility,false_safe_rate,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,cvar_recovery_planner,coverage,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,cvar_recovery_planner,fixed_risk_success,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,cvar_recovery_planner,executed_success,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,cvar_recovery_planner,false_safe_rate,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,oracle_recoverability_upper_bound,coverage,-0.02656,0.02044,-0.04701,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,oracle_recoverability_upper_bound,fixed_risk_success,-0.01875,0.01100,-0.02975,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,oracle_recoverability_upper_bound,executed_success,-0.59286,0.28619,-0.87905,10
adversarial_compound_shift,0.02,recoverability_score_planner_v5,oracle_recoverability_upper_bound,false_safe_rate,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,conformal_failure_filter,coverage,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,conformal_failure_filter,fixed_risk_success,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,conformal_failure_filter,executed_success,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,conformal_failure_filter,false_safe_rate,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,learned_failure_classifier,coverage,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,learned_failure_classifier,fixed_risk_success,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,learned_failure_classifier,executed_success,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,learned_failure_classifier,false_safe_rate,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,learned_expected_utility,coverage,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,learned_expected_utility,fixed_risk_success,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,learned_expected_utility,executed_success,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,learned_expected_utility,false_safe_rate,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,cvar_recovery_planner,coverage,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,cvar_recovery_planner,fixed_risk_success,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,cvar_recovery_planner,executed_success,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,cvar_recovery_planner,false_safe_rate,0.00000,0.00000,0.00000,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,oracle_recoverability_upper_bound,coverage,-0.60313,0.04727,-0.65040,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,oracle_recoverability_upper_bound,fixed_risk_success,-0.48906,0.04474,-0.53380,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,oracle_recoverability_upper_bound,executed_success,-0.81022,0.03226,-0.84249,10
adversarial_compound_shift,0.05,recoverability_score_planner_v5,oracle_recoverability_upper_bound,false_safe_rate,-0.00476,0.00626,-0.01102,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,conformal_failure_filter,coverage,0.37500,0.04134,0.33366,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,conformal_failure_filter,fixed_risk_success,0.27031,0.03929,0.23103,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,conformal_failure_filter,executed_success,0.63846,0.18886,0.44961,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,conformal_failure_filter,false_safe_rate,0.01080,0.01083,-0.00004,10
adversarial_compound_shift,0.10,recoverability_score_planner_v5,learned_failure_classifier,coverage,0.12344,0.03992,0.08352,10
