split,seed,episode_id,method,plan_type,goal_success,deviation,recovered,irreversible_failure,damage,budget_overrun,total_cost,recovery_attempts,calibration_error,predicted_unsafe,risk_upper,safety_utility,failure_label,fixed_risk_budget,coverage,false_safe,nav_deviation,manipulation_slip,trap_pressure,sensor_uncertainty,latent_mode_shift,budget,ablation
combined_hard_shift,0,0,full_recoverability_score_v5,diagnostic_staging,1,0,0,0,0,0,1.59715,0,0.04454,0.04454,0.11909,0.87223,success,,1,0,0.49838,0.42578,0.47698,0.34353,0.29939,2.14672,full_recoverability_score_v5
combined_hard_shift,0,0,minus_recovery_success,diagnostic_staging,1,0,0,0,0,0,1.59715,0,0.04454,0.04454,0.11909,0.87223,success,,1,0,0.49838,0.42578,0.47698,0.34353,0.29939,2.14672,minus_recovery_success
combined_hard_shift,0,0,minus_recovery_cost,diagnostic_staging,1,1,1,0,0,0,2.14060,1,0.04454,0.04454,0.11909,0.82875,success,,1,0,0.49838,0.42578,0.47698,0.34353,0.29939,2.14672,minus_recovery_cost
combined_hard_shift,0,0,minus_irreversible_trap_penalty,diagnostic_staging,1,0,0,0,0,0,1.59715,0,0.04454,0.04454,0.11909,0.87223,success,,1,0,0.49838,0.42578,0.47698,0.34353,0.29939,2.14672,minus_irreversible_trap_penalty
combined_hard_shift,0,0,minus_damage_penalty,diagnostic_staging,1,0,0,0,0,0,1.59715,0,0.04454,0.04454,0.11909,0.87223,success,,1,0,0.49838,0.42578,0.47698,0.34353,0.29939,2.14672,minus_damage_penalty
combined_hard_shift,0,0,minus_budget_slack,diagnostic_staging,1,0,0,0,0,0,1.59715,0,0.04454,0.04454,0.11909,0.87223,success,,1,0,0.49838,0.42578,0.47698,0.34353,0.29939,2.14672,minus_budget_slack
combined_hard_shift,0,0,minus_branch_entropy,diagnostic_staging,1,0,0,0,0,0,1.59715,0,0.04454,0.04454,0.11909,0.87223,success,,1,0,0.49838,0.42578,0.47698,0.34353,0.29939,2.14672,minus_branch_entropy
combined_hard_shift,0,0,minus_calibration_penalty,diagnostic_staging,1,0,0,0,0,0,1.59715,0,0.04454,0.04454,0.11909,0.87223,success,,1,0,0.49838,0.42578,0.47698,0.34353,0.29939,2.14672,minus_calibration_penalty
combined_hard_shift,0,0,risk_only_score,diagnostic_staging,1,0,0,0,0,0,1.59715,0,0.04454,0.04454,0.11909,0.87223,success,,1,0,0.49838,0.42578,0.47698,0.34353,0.29939,2.14672,risk_only_score
combined_hard_shift,0,0,expected_utility_only,diagnostic_staging,1,0,0,0,0,0,1.59715,0,0.04454,0.04454,0.11909,0.87223,success,,1,0,0.49838,0.42578,0.47698,0.34353,0.29939,2.14672,expected_utility_only
combined_hard_shift,0,1,full_recoverability_score_v5,reversible_probe,0,1,1,0,0,1,2.34411,1,0.99597,0.00403,0.07858,-0.53753,budget_overrun,,1,0,0.45849,0.45162,0.55085,0.32880,0.37067,2.27204,full_recoverability_score_v5
combined_hard_shift,0,1,minus_recovery_success,dual_recovery_branch,1,0,0,0,0,0,2.13042,0,0.00210,0.00210,0.07665,0.82957,success,,1,0,0.45849,0.45162,0.55085,0.32880,0.37067,2.27204,minus_recovery_success
combined_hard_shift,0,1,minus_recovery_cost,reversible_probe,0,1,1,0,0,1,2.34411,1,0.99597,0.00403,0.07858,-0.53753,budget_overrun,,1,0,0.45849,0.45162,0.55085,0.32880,0.37067,2.27204,minus_recovery_cost
combined_hard_shift,0,1,minus_irreversible_trap_penalty,diagnostic_staging,1,0,0,0,0,0,1.78752,0,0.03406,0.03406,0.10861,0.85700,success,,1,0,0.45849,0.45162,0.55085,0.32880,0.37067,2.27204,minus_irreversible_trap_penalty
combined_hard_shift,0,1,minus_damage_penalty,reversible_probe,0,1,1,0,0,1,2.34411,1,0.99597,0.00403,0.07858,-0.53753,budget_overrun,,1,0,0.45849,0.45162,0.55085,0.32880,0.37067,2.27204,minus_damage_penalty
combined_hard_shift,0,1,minus_budget_slack,reversible_probe,0,1,1,0,0,1,2.34411,1,0.99597,0.00403,0.07858,-0.53753,budget_overrun,,1,0,0.45849,0.45162,0.55085,0.32880,0.37067,2.27204,minus_budget_slack
combined_hard_shift,0,1,minus_branch_entropy,diagnostic_staging,1,0,0,0,0,0,1.78752,0,0.03406,0.03406,0.10861,0.85700,success,,1,0,0.45849,0.45162,0.55085,0.32880,0.37067,2.27204,minus_branch_entropy
combined_hard_shift,0,1,minus_calibration_penalty,reversible_probe,1,0,0,0,0,0,1.84264,0,0.00403,0.00403,0.07858,0.85259,success,,1,0,0.45849,0.45162,0.55085,0.32880,0.37067,2.27204,minus_calibration_penalty
combined_hard_shift,0,1,risk_only_score,dual_recovery_branch,1,0,0,0,0,0,2.13042,0,0.00210,0.00210,0.07665,0.82957,success,,1,0,0.45849,0.45162,0.55085,0.32880,0.37067,2.27204,risk_only_score
combined_hard_shift,0,1,expected_utility_only,diagnostic_staging,1,0,0,0,0,0,1.78752,0,0.03406,0.03406,0.10861,0.85700,success,,1,0,0.45849,0.45162,0.55085,0.32880,0.37067,2.27204,expected_utility_only
combined_hard_shift,0,2,full_recoverability_score_v5,diagnostic_staging,1,0,0,0,0,0,1.71704,0,0.10729,0.10729,0.18184,0.86264,success,,1,0,0.47308,0.46548,0.51628,0.32664,0.29986,2.09732,full_recoverability_score_v5
combined_hard_shift,0,2,minus_recovery_success,diagnostic_staging,1,0,0,0,0,0,1.71704,0,0.10729,0.10729,0.18184,0.86264,success,,1,0,0.47308,0.46548,0.51628,0.32664,0.29986,2.09732,minus_recovery_success
combined_hard_shift,0,2,minus_recovery_cost,diagnostic_staging,1,0,0,0,0,0,1.71704,0,0.10729,0.10729,0.18184,0.86264,success,,1,0,0.47308,0.46548,0.51628,0.32664,0.29986,2.09732,minus_recovery_cost
combined_hard_shift,0,2,minus_irreversible_trap_penalty,diagnostic_staging,1,0,0,0,0,0,1.71704,0,0.10729,0.10729,0.18184,0.86264,success,,1,0,0.47308,0.46548,0.51628,0.32664,0.29986,2.09732,minus_irreversible_trap_penalty
combined_hard_shift,0,2,minus_damage_penalty,diagnostic_staging,1,0,0,0,0,0,1.71704,0,0.10729,0.10729,0.18184,0.86264,success,,1,0,0.47308,0.46548,0.51628,0.32664,0.29986,2.09732,minus_damage_penalty
combined_hard_shift,0,2,minus_budget_slack,diagnostic_staging,1,0,0,0,0,0,1.71704,0,0.10729,0.10729,0.18184,0.86264,success,,1,0,0.47308,0.46548,0.51628,0.32664,0.29986,2.09732,minus_budget_slack
combined_hard_shift,0,2,minus_branch_entropy,diagnostic_staging,1,0,0,0,0,0,1.71704,0,0.10729,0.10729,0.18184,0.86264,success,,1,0,0.47308,0.46548,0.51628,0.32664,0.29986,2.09732,minus_branch_entropy
combined_hard_shift,0,2,minus_calibration_penalty,diagnostic_staging,1,0,0,0,0,0,1.71704,0,0.10729,0.10729,0.18184,0.86264,success,,1,0,0.47308,0.46548,0.51628,0.32664,0.29986,2.09732,minus_calibration_penalty
combined_hard_shift,0,2,risk_only_score,conservative_backoff,0,0,0,0,0,1,2.49254,0,0.89848,0.10152,0.17607,-0.54940,budget_overrun,,1,0,0.47308,0.46548,0.51628,0.32664,0.29986,2.09732,risk_only_score
combined_hard_shift,0,2,expected_utility_only,diagnostic_staging,0,1,1,0,0,1,2.28200,1,0.89271,0.10729,0.18184,-0.53256,budget_overrun,,1,0,0.47308,0.46548,0.51628,0.32664,0.29986,2.09732,expected_utility_only
combined_hard_shift,0,3,full_recoverability_score_v5,diagnostic_staging,1,0,0,0,0,0,1.80108,0,0.03209,0.03209,0.10664,0.85591,success,,1,0,0.53662,0.46846,0.51789,0.36353,0.36454,2.10025,full_recoverability_score_v5
combined_hard_shift,0,3,minus_recovery_success,diagnostic_staging,1,0,0,0,0,0,1.80108,0,0.03209,0.03209,0.10664,0.85591,success,,1,0,0.53662,0.46846,0.51789,0.36353,0.36454,2.10025,minus_recovery_success
combined_hard_shift,0,3,minus_recovery_cost,diagnostic_staging,1,0,0,0,0,0,1.80108,0,0.03209,0.03209,0.10664,0.85591,success,,1,0,0.53662,0.46846,0.51789,0.36353,0.36454,2.10025,minus_recovery_cost
combined_hard_shift,0,3,minus_irreversible_trap_penalty,diagnostic_staging,1,0,0,0,0,0,1.80108,0,0.03209,0.03209,0.10664,0.85591,success,,1,0,0.53662,0.46846,0.51789,0.36353,0.36454,2.10025,minus_irreversible_trap_penalty
combined_hard_shift,0,3,minus_damage_penalty,diagnostic_staging,0,1,1,0,0,1,2.35429,1,0.96791,0.03209,0.10664,-0.53834,budget_overrun,,1,0,0.53662,0.46846,0.51789,0.36353,0.36454,2.10025,minus_damage_penalty
combined_hard_shift,0,3,minus_budget_slack,diagnostic_staging,1,0,0,0,0,0,1.80108,0,0.03209,0.03209,0.10664,0.85591,success,,1,0,0.53662,0.46846,0.51789,0.36353,0.36454,2.10025,minus_budget_slack
combined_hard_shift,0,3,minus_branch_entropy,diagnostic_staging,0,1,1,0,0,1,2.35429,1,0.96791,0.03209,0.10664,-0.53834,budget_overrun,,1,0,0.53662,0.46846,0.51789,0.36353,0.36454,2.10025,minus_branch_entropy
combined_hard_shift,0,3,minus_calibration_penalty,diagnostic_staging,0,1,1,0,0,1,2.35429,1,0.96791,0.03209,0.10664,-0.53834,budget_overrun,,1,0,0.53662,0.46846,0.51789,0.36353,0.36454,2.10025,minus_calibration_penalty
combined_hard_shift,0,3,risk_only_score,diagnostic_staging,0,1,1,0,0,1,2.35429,1,0.96791,0.03209,0.10664,-0.53834,budget_overrun,,1,0,0.53662,0.46846,0.51789,0.36353,0.36454,2.10025,risk_only_score
combined_hard_shift,0,3,expected_utility_only,diagnostic_staging,1,0,0,0,0,0,1.80108,0,0.03209,0.03209,0.10664,0.85591,success,,1,0,0.53662,0.46846,0.51789,0.36353,0.36454,2.10025,expected_utility_only
combined_hard_shift,0,4,full_recoverability_score_v5,diagnostic_staging,1,0,0,0,0,0,1.55748,0,0.04696,0.04696,0.12151,0.87540,success,,1,0,0.53462,0.43016,0.57392,0.34676,0.35466,2.14759,full_recoverability_score_v5
combined_hard_shift,0,4,minus_recovery_success,diagnostic_staging,1,0,0,0,0,0,1.55748,0,0.04696,0.04696,0.12151,0.87540,success,,1,0,0.53462,0.43016,0.57392,0.34676,0.35466,2.14759,minus_recovery_success
combined_hard_shift,0,4,minus_recovery_cost,diagnostic_staging,1,0,0,0,0,0,1.55748,0,0.04696,0.04696,0.12151,0.87540,success,,1,0,0.53462,0.43016,0.57392,0.34676,0.35466,2.14759,minus_recovery_cost
combined_hard_shift,0,4,minus_irreversible_trap_penalty,diagnostic_staging,0,1,1,0,0,1,2.15663,1,0.95304,0.04696,0.12151,-0.52253,budget_overrun,,1,0,0.53462,0.43016,0.57392,0.34676,0.35466,2.14759,minus_irreversible_trap_penalty
combined_hard_shift,0,4,minus_damage_penalty,diagnostic_staging,1,0,0,0,0,0,1.55748,0,0.04696,0.04696,0.12151,0.87540,success,,1,0,0.53462,0.43016,0.57392,0.34676,0.35466,2.14759,minus_damage_penalty
combined_hard_shift,0,4,minus_budget_slack,diagnostic_staging,1,0,0,0,0,0,1.55748,0,0.04696,0.04696,0.12151,0.87540,success,,1,0,0.53462,0.43016,0.57392,0.34676,0.35466,2.14759,minus_budget_slack
