split,risk_budget,method,coverage,ci95_coverage,fixed_risk_success,ci95_fixed_risk_success,executed_success,false_safe_rate,irreversible_failure,damage,total_cost,rows
combined_hard_shift,0.02,conformal_failure_filter,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
combined_hard_shift,0.02,learned_failure_classifier,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
combined_hard_shift,0.02,learned_expected_utility,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
combined_hard_shift,0.02,cvar_recovery_planner,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
combined_hard_shift,0.02,recoverability_score_planner_v5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
combined_hard_shift,0.02,oracle_recoverability_upper_bound,0.14531,0.02239,0.13281,0.02633,0.89869,0.01250,0.00000,0.01250,1.78613,640
combined_hard_shift,0.05,conformal_failure_filter,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
combined_hard_shift,0.05,learned_failure_classifier,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
combined_hard_shift,0.05,learned_expected_utility,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
combined_hard_shift,0.05,cvar_recovery_planner,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
combined_hard_shift,0.05,recoverability_score_planner_v5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
combined_hard_shift,0.05,oracle_recoverability_upper_bound,0.85000,0.02966,0.72187,0.03647,0.84910,0.01099,0.00000,0.01099,1.81442,640
combined_hard_shift,0.10,conformal_failure_filter,0.02344,0.04594,0.02187,0.04288,0.09333,0.00667,0.00000,0.00667,0.18682,640
combined_hard_shift,0.10,learned_failure_classifier,0.33125,0.03841,0.27656,0.03710,0.83413,0.00857,0.00000,0.00857,1.85940,640
combined_hard_shift,0.10,learned_expected_utility,0.29063,0.03136,0.24531,0.03356,0.84042,0.00714,0.00000,0.00714,1.82909,640
combined_hard_shift,0.10,cvar_recovery_planner,0.02813,0.05513,0.02344,0.04594,0.08333,0.00000,0.00000,0.00000,0.18675,640
combined_hard_shift,0.10,recoverability_score_planner_v5,0.45469,0.04413,0.38125,0.02822,0.84389,0.00400,0.00000,0.00400,1.91663,640
combined_hard_shift,0.10,oracle_recoverability_upper_bound,0.99844,0.00306,0.84844,0.03682,0.84965,0.01255,0.00000,0.01255,1.81138,640
combined_hard_shift,0.20,conformal_failure_filter,0.59063,0.03222,0.51719,0.04342,0.87434,0.01545,0.00000,0.01545,1.85855,640
combined_hard_shift,0.20,learned_failure_classifier,0.82969,0.02392,0.70781,0.03165,0.85326,0.01303,0.00000,0.01303,1.86117,640
combined_hard_shift,0.20,learned_expected_utility,0.79219,0.02544,0.67500,0.04302,0.85147,0.00835,0.00000,0.00835,1.82954,640
combined_hard_shift,0.20,cvar_recovery_planner,0.77187,0.04312,0.61406,0.05536,0.79331,0.01443,0.00000,0.01443,1.94522,640
combined_hard_shift,0.20,recoverability_score_planner_v5,0.88437,0.02292,0.73594,0.02640,0.83242,0.00699,0.00172,0.00699,1.91759,640
combined_hard_shift,0.20,oracle_recoverability_upper_bound,1.00000,0.00000,0.85000,0.03542,0.85000,0.01250,0.00000,0.01250,1.81101,640
adversarial_compound_shift,0.02,conformal_failure_filter,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
adversarial_compound_shift,0.02,learned_failure_classifier,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
adversarial_compound_shift,0.02,learned_expected_utility,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
adversarial_compound_shift,0.02,cvar_recovery_planner,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
adversarial_compound_shift,0.02,recoverability_score_planner_v5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
adversarial_compound_shift,0.02,oracle_recoverability_upper_bound,0.02656,0.02044,0.01875,0.01100,0.59286,0.00000,0.00000,0.00000,1.30875,640
adversarial_compound_shift,0.05,conformal_failure_filter,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
adversarial_compound_shift,0.05,learned_failure_classifier,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
adversarial_compound_shift,0.05,learned_expected_utility,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
adversarial_compound_shift,0.05,cvar_recovery_planner,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
adversarial_compound_shift,0.05,recoverability_score_planner_v5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,640
adversarial_compound_shift,0.05,oracle_recoverability_upper_bound,0.60313,0.04727,0.48906,0.04474,0.81022,0.00476,0.00000,0.00476,1.84148,640
adversarial_compound_shift,0.10,conformal_failure_filter,0.01094,0.02144,0.00937,0.01837,0.08571,0.00000,0.00000,0.00000,0.18857,640
adversarial_compound_shift,0.10,learned_failure_classifier,0.26250,0.04204,0.20938,0.04063,0.79222,0.00556,0.00000,0.00556,1.88466,640
adversarial_compound_shift,0.10,learned_expected_utility,0.24062,0.04189,0.19531,0.03880,0.80935,0.00588,0.00000,0.00588,1.86452,640
adversarial_compound_shift,0.10,cvar_recovery_planner,0.01719,0.03369,0.01406,0.02756,0.08182,0.00000,0.00000,0.00000,0.19649,640
adversarial_compound_shift,0.10,recoverability_score_planner_v5,0.38594,0.03596,0.27969,0.03111,0.72418,0.01080,0.00000,0.01080,1.97667,640
adversarial_compound_shift,0.10,oracle_recoverability_upper_bound,0.99531,0.00468,0.81250,0.02416,0.81644,0.00945,0.00000,0.00945,1.83228,640
adversarial_compound_shift,0.20,conformal_failure_filter,0.51719,0.05765,0.36875,0.04814,0.71212,0.01649,0.00000,0.01649,1.94633,640
adversarial_compound_shift,0.20,learned_failure_classifier,0.79531,0.04483,0.63594,0.04356,0.80148,0.01360,0.00000,0.01360,1.86719,640
adversarial_compound_shift,0.20,learned_expected_utility,0.74219,0.03454,0.59219,0.02560,0.80018,0.01041,0.00000,0.01041,1.85627,640
adversarial_compound_shift,0.20,cvar_recovery_planner,0.69844,0.04521,0.49844,0.04484,0.71291,0.01725,0.00233,0.01725,1.96689,640
adversarial_compound_shift,0.20,recoverability_score_planner_v5,0.79688,0.02662,0.60000,0.03069,0.75257,0.01567,0.00000,0.01567,1.94934,640
adversarial_compound_shift,0.20,oracle_recoverability_upper_bound,1.00000,0.00000,0.81719,0.02585,0.81719,0.00937,0.00000,0.00937,1.83167,640
