split,method,seed,episodes,goal_success,deviation_rate,recovery_success,irreversible_failure,damage,budget_overrun,total_cost,recovery_attempts,calibration_error,predicted_unsafe,risk_upper,plan_diversity,safety_utility
hard_regime_aggregate,nominal_shortest_plan,0,512,0.69141,0.30859,0.05063,0.12500,0.18945,0.18359,1.34063,0.18359,0.62939,0.85884,0.89705,0.14286,0.07380
hard_regime_aggregate,nominal_shortest_plan,1,512,0.67969,0.32031,0.05488,0.12109,0.19336,0.19727,1.36626,0.19922,0.59917,0.83589,0.87378,0.14286,0.05740
hard_regime_aggregate,nominal_shortest_plan,2,512,0.66016,0.33984,0.06897,0.13477,0.20898,0.20312,1.37320,0.20508,0.59388,0.84634,0.88197,0.14286,-0.00741
hard_regime_aggregate,nominal_shortest_plan,3,512,0.69531,0.30664,0.07643,0.11914,0.19141,0.18164,1.34644,0.18750,0.63058,0.85528,0.88825,0.14286,0.08584
hard_regime_aggregate,nominal_shortest_plan,4,512,0.67383,0.32617,0.04790,0.12305,0.21094,0.20117,1.37053,0.20312,0.60800,0.84848,0.88548,0.14286,0.02532
hard_regime_aggregate,nominal_shortest_plan,5,512,0.66211,0.33789,0.05780,0.11914,0.17188,0.21680,1.39661,0.21875,0.61050,0.86169,0.89662,0.14286,0.05976
hard_regime_aggregate,nominal_shortest_plan,6,512,0.70312,0.29688,0.12500,0.09180,0.16406,0.20312,1.37926,0.20508,0.63664,0.85231,0.88434,0.14286,0.16417
hard_regime_aggregate,nominal_shortest_plan,7,512,0.71094,0.28906,0.10811,0.11914,0.17188,0.16992,1.31072,0.16992,0.64137,0.85148,0.88798,0.14286,0.13186
hard_regime_aggregate,nominal_shortest_plan,8,512,0.66992,0.33008,0.05325,0.13086,0.19727,0.19727,1.36090,0.19922,0.61491,0.85218,0.89148,0.14286,0.02628
hard_regime_aggregate,nominal_shortest_plan,9,512,0.70508,0.29492,0.04636,0.10938,0.17578,0.18555,1.33657,0.18555,0.62763,0.85403,0.88992,0.14286,0.13087
hard_regime_aggregate,risk_averse_plan,0,512,0.75000,0.11719,0.76667,0.00195,0.01562,0.24805,1.97946,0.11523,0.26882,0.05022,0.12477,0.85714,0.48266
hard_regime_aggregate,risk_averse_plan,1,512,0.75000,0.10547,0.68519,0.00195,0.02539,0.24609,1.98134,0.10352,0.27161,0.05102,0.12084,0.85714,0.47147
hard_regime_aggregate,risk_averse_plan,2,512,0.76953,0.12305,0.82540,0.00000,0.01367,0.23047,1.96002,0.12305,0.25494,0.05145,0.12284,0.85714,0.51566
hard_regime_aggregate,risk_averse_plan,3,512,0.75195,0.11328,0.82759,0.00195,0.00781,0.24414,1.98530,0.11133,0.26764,0.04813,0.10963,0.85714,0.49489
hard_regime_aggregate,risk_averse_plan,4,512,0.75000,0.13086,0.83582,0.00586,0.01172,0.24414,1.99317,0.12500,0.26866,0.05208,0.12366,1.00000,0.48078
hard_regime_aggregate,risk_averse_plan,5,512,0.71875,0.13672,0.84286,0.00195,0.00781,0.27930,1.99085,0.13477,0.29935,0.05354,0.12286,1.00000,0.44893
hard_regime_aggregate,risk_averse_plan,6,512,0.74805,0.12109,0.79032,0.00195,0.01562,0.24023,1.97733,0.11914,0.27636,0.05054,0.11484,1.00000,0.48361
hard_regime_aggregate,risk_averse_plan,7,512,0.75781,0.11328,0.87931,0.00000,0.01367,0.24023,1.96477,0.11328,0.26919,0.05452,0.12430,1.00000,0.50014
hard_regime_aggregate,risk_averse_plan,8,512,0.75195,0.11719,0.75000,0.00195,0.01758,0.24414,1.98368,0.11523,0.27437,0.05572,0.12726,1.00000,0.48330
hard_regime_aggregate,risk_averse_plan,9,512,0.72461,0.13477,0.75362,0.00391,0.01758,0.27148,1.99553,0.13086,0.29691,0.04877,0.11709,0.85714,0.44202
hard_regime_aggregate,robust_margin_planner,0,512,0.17188,0.14844,0.57895,0.00195,0.04297,0.82812,2.40498,0.14648,0.71633,0.21451,0.28906,0.28571,-0.36535
hard_regime_aggregate,robust_margin_planner,1,512,0.17969,0.14453,0.62162,0.00195,0.04102,0.82031,2.40310,0.14258,0.70220,0.21498,0.28480,0.42857,-0.35231
hard_regime_aggregate,robust_margin_planner,2,512,0.18750,0.15430,0.59494,0.00195,0.03320,0.81055,2.40255,0.15234,0.70097,0.21448,0.28587,0.28571,-0.33166
hard_regime_aggregate,robust_margin_planner,3,512,0.17969,0.14258,0.52055,0.00781,0.03906,0.81250,2.40516,0.13477,0.70064,0.21090,0.27241,0.28571,-0.35765
hard_regime_aggregate,robust_margin_planner,4,512,0.21289,0.13867,0.67606,0.00391,0.03125,0.78516,2.38300,0.13477,0.70290,0.20322,0.27480,0.28571,-0.29689
hard_regime_aggregate,robust_margin_planner,5,512,0.21875,0.12500,0.54688,0.00586,0.02344,0.77930,2.36410,0.11914,0.68270,0.22375,0.29307,0.28571,-0.28151
hard_regime_aggregate,robust_margin_planner,6,512,0.19141,0.10742,0.56364,0.00000,0.02539,0.80859,2.37986,0.10742,0.70226,0.20930,0.27359,0.28571,-0.31246
hard_regime_aggregate,robust_margin_planner,7,512,0.17578,0.13086,0.58209,0.00586,0.02930,0.82031,2.39145,0.12500,0.70803,0.21934,0.28913,0.42857,-0.34805
hard_regime_aggregate,robust_margin_planner,8,512,0.16992,0.15430,0.60759,0.00586,0.02734,0.82422,2.41964,0.14844,0.71412,0.20992,0.28132,0.28571,-0.35519
hard_regime_aggregate,robust_margin_planner,9,512,0.15820,0.13867,0.60563,0.00391,0.02930,0.83984,2.40440,0.13477,0.71822,0.21183,0.28015,0.28571,-0.37009
hard_regime_aggregate,expected_cost_replanner,0,512,0.86719,0.15820,0.61728,0.01367,0.03906,0.11719,1.72744,0.14453,0.25307,0.20029,0.27421,0.85714,0.61718
hard_regime_aggregate,expected_cost_replanner,1,512,0.86719,0.15625,0.50000,0.02148,0.04688,0.10742,1.70508,0.13477,0.25223,0.20008,0.26936,0.85714,0.59934
hard_regime_aggregate,expected_cost_replanner,2,512,0.85938,0.16602,0.49412,0.02344,0.04492,0.11133,1.71791,0.14258,0.24396,0.19919,0.27019,0.85714,0.58806
hard_regime_aggregate,expected_cost_replanner,3,512,0.87305,0.13867,0.54930,0.00977,0.03516,0.11328,1.71974,0.12891,0.25326,0.20483,0.26598,0.85714,0.63654
