split,target,reference,metric,mean_diff,ci95,lower95,target_better_seeds,seeds
hard_regime_aggregate,recoverability_score_planner_v5,robust_margin_planner,goal_success,0.70254,0.01219,0.69035,10,10
hard_regime_aggregate,recoverability_score_planner_v5,robust_margin_planner,recovery_success,0.28119,0.02913,0.25206,10,10
hard_regime_aggregate,recoverability_score_planner_v5,robust_margin_planner,irreversible_failure,-0.00352,0.00149,-0.00500,9,10
hard_regime_aggregate,recoverability_score_planner_v5,robust_margin_planner,damage,-0.02500,0.00544,-0.03044,10,10
hard_regime_aggregate,recoverability_score_planner_v5,robust_margin_planner,total_cost,-0.53777,0.01023,-0.54800,10,10
hard_regime_aggregate,recoverability_score_planner_v5,robust_margin_planner,calibration_error,-0.55652,0.00736,-0.56388,10,10
hard_regime_aggregate,recoverability_score_planner_v5,robust_margin_planner,safety_utility,1.02781,0.01656,1.01125,10,10
hard_regime_aggregate,recoverability_score_planner_v5,contingent_replanner,goal_success,0.10019,0.01011,0.09008,10,10
hard_regime_aggregate,recoverability_score_planner_v5,contingent_replanner,recovery_success,-0.04716,0.03691,-0.08407,2,10
hard_regime_aggregate,recoverability_score_planner_v5,contingent_replanner,irreversible_failure,0.00039,0.00051,-0.00012,0,10
hard_regime_aggregate,recoverability_score_planner_v5,contingent_replanner,damage,-0.00078,0.00424,-0.00502,5,10
hard_regime_aggregate,recoverability_score_planner_v5,contingent_replanner,total_cost,-0.14201,0.00894,-0.15096,10,10
hard_regime_aggregate,recoverability_score_planner_v5,contingent_replanner,calibration_error,-0.12060,0.00854,-0.12914,10,10
hard_regime_aggregate,recoverability_score_planner_v5,contingent_replanner,safety_utility,0.14715,0.01607,0.13108,10,10
hard_regime_aggregate,recoverability_score_planner_v5,conformal_failure_filter,goal_success,-0.01269,0.00924,-0.02194,2,10
hard_regime_aggregate,recoverability_score_planner_v5,conformal_failure_filter,recovery_success,0.01247,0.02929,-0.01682,6,10
hard_regime_aggregate,recoverability_score_planner_v5,conformal_failure_filter,irreversible_failure,0.00019,0.00069,-0.00049,1,10
hard_regime_aggregate,recoverability_score_planner_v5,conformal_failure_filter,damage,-0.00039,0.00266,-0.00306,4,10
hard_regime_aggregate,recoverability_score_planner_v5,conformal_failure_filter,total_cost,0.04946,0.00771,0.04175,0,10
hard_regime_aggregate,recoverability_score_planner_v5,conformal_failure_filter,calibration_error,-0.01567,0.00910,-0.02477,9,10
hard_regime_aggregate,recoverability_score_planner_v5,conformal_failure_filter,safety_utility,-0.02200,0.01273,-0.03473,2,10
hard_regime_aggregate,recoverability_score_planner_v5,learned_failure_classifier,goal_success,-0.01758,0.01074,-0.02832,2,10
hard_regime_aggregate,recoverability_score_planner_v5,learned_failure_classifier,recovery_success,0.00535,0.02594,-0.02058,4,10
hard_regime_aggregate,recoverability_score_planner_v5,learned_failure_classifier,irreversible_failure,0.00039,0.00051,-0.00012,0,10
hard_regime_aggregate,recoverability_score_planner_v5,learned_failure_classifier,damage,0.00137,0.00243,-0.00106,3,10
hard_regime_aggregate,recoverability_score_planner_v5,learned_failure_classifier,total_cost,0.04536,0.00768,0.03768,0,10
hard_regime_aggregate,recoverability_score_planner_v5,learned_failure_classifier,calibration_error,-0.03519,0.00954,-0.04473,10,10
hard_regime_aggregate,recoverability_score_planner_v5,learned_failure_classifier,safety_utility,-0.03057,0.01614,-0.04671,2,10
hard_regime_aggregate,recoverability_score_planner_v5,learned_expected_utility,goal_success,-0.03594,0.01288,-0.04882,0,10
hard_regime_aggregate,recoverability_score_planner_v5,learned_expected_utility,recovery_success,0.00188,0.03609,-0.03420,4,10
hard_regime_aggregate,recoverability_score_planner_v5,learned_expected_utility,irreversible_failure,0.00039,0.00051,-0.00012,0,10
hard_regime_aggregate,recoverability_score_planner_v5,learned_expected_utility,damage,0.00215,0.00264,-0.00050,4,10
hard_regime_aggregate,recoverability_score_planner_v5,learned_expected_utility,total_cost,0.07953,0.00856,0.07097,0,10
hard_regime_aggregate,recoverability_score_planner_v5,learned_expected_utility,calibration_error,-0.02803,0.01159,-0.03962,9,10
hard_regime_aggregate,recoverability_score_planner_v5,learned_expected_utility,safety_utility,-0.05903,0.01864,-0.07767,0,10
hard_regime_aggregate,recoverability_score_planner_v5,cvar_recovery_planner,goal_success,0.00547,0.01330,-0.00783,5,10
hard_regime_aggregate,recoverability_score_planner_v5,cvar_recovery_planner,recovery_success,0.02713,0.03821,-0.01107,8,10
hard_regime_aggregate,recoverability_score_planner_v5,cvar_recovery_planner,irreversible_failure,0.00000,0.00081,-0.00081,2,10
hard_regime_aggregate,recoverability_score_planner_v5,cvar_recovery_planner,damage,-0.00274,0.00275,-0.00548,6,10
hard_regime_aggregate,recoverability_score_planner_v5,cvar_recovery_planner,total_cost,-0.01146,0.00933,-0.02079,8,10
hard_regime_aggregate,recoverability_score_planner_v5,cvar_recovery_planner,calibration_error,-0.00329,0.01152,-0.01482,5,10
hard_regime_aggregate,recoverability_score_planner_v5,cvar_recovery_planner,safety_utility,0.01090,0.02058,-0.00969,5,10
