stress_axis,stress_level,method,seed,episodes,goal_success,recovery_success,irreversible_failure,damage,total_cost,safety_utility
navigation,0.00,robust_margin_planner,0,32,0.25000,0.66667,0.00000,0.00000,2.34280,-0.19992
navigation,0.00,robust_margin_planner,1,32,0.21875,0.80000,0.00000,0.03125,2.37745,-0.28238
navigation,0.00,robust_margin_planner,2,32,0.21875,0.66667,0.00000,0.00000,2.34817,-0.24254
navigation,0.00,robust_margin_planner,3,32,0.12500,0.75000,0.00000,0.03125,2.43821,-0.41381
navigation,0.00,robust_margin_planner,4,32,0.15625,0.50000,0.00000,0.03125,2.45238,-0.37275
navigation,0.00,robust_margin_planner,5,32,0.25000,0.66667,0.00000,0.00000,2.36398,-0.20162
navigation,0.00,robust_margin_planner,6,32,0.15625,1.00000,0.00000,0.03125,2.37882,-0.36687
navigation,0.00,robust_margin_planner,7,32,0.34375,1.00000,0.00000,0.00000,2.30277,-0.07016
navigation,0.00,robust_margin_planner,8,32,0.34375,1.00000,0.00000,0.00000,2.34139,-0.07325
navigation,0.00,robust_margin_planner,9,32,0.12500,0.50000,0.00000,0.03125,2.45715,-0.41532
navigation,0.00,contingent_replanner,0,32,0.96875,1.00000,0.00000,0.00000,1.95693,0.80126
navigation,0.00,contingent_replanner,1,32,0.93750,1.00000,0.00000,0.00000,1.96565,0.75837
navigation,0.00,contingent_replanner,2,32,0.96875,1.00000,0.00000,0.00000,1.97289,0.79998
navigation,0.00,contingent_replanner,3,32,0.96875,1.00000,0.00000,0.00000,1.94739,0.80202
navigation,0.00,contingent_replanner,4,32,0.96875,1.00000,0.00000,0.00000,2.02822,0.79556
navigation,0.00,contingent_replanner,5,32,0.96875,1.00000,0.00000,0.00000,1.93052,0.80337
navigation,0.00,contingent_replanner,6,32,0.96875,1.00000,0.00000,0.00000,1.97791,0.79958
navigation,0.00,contingent_replanner,7,32,1.00000,1.00000,0.00000,0.00000,1.91045,0.84716
navigation,0.00,contingent_replanner,8,32,0.96875,1.00000,0.00000,0.00000,1.96130,0.80091
navigation,0.00,contingent_replanner,9,32,0.96875,1.00000,0.00000,0.00000,1.97420,0.79988
navigation,0.00,learned_failure_classifier,0,32,1.00000,1.00000,0.00000,0.00000,1.76401,0.85888
