split,method,seed,episodes,goal_success,deviation_rate,recovery_success,irreversible_failure,damage,budget_overrun,total_cost,recovery_attempts,calibration_error,predicted_unsafe,risk_upper,plan_diversity,safety_utility
adversarial_compound_shift,full_recoverability_score_v5,0,80,0.72500,0.22500,0.77778,0.00000,0.01250,0.27500,1.93953,0.22500,0.30948,0.07380,0.14835,0.57143,0.45859
adversarial_compound_shift,full_recoverability_score_v5,1,80,0.72500,0.22500,0.88889,0.00000,0.00000,0.27500,1.96815,0.22500,0.30234,0.07450,0.14432,0.57143,0.47130
adversarial_compound_shift,full_recoverability_score_v5,2,80,0.72500,0.21250,0.94118,0.00000,0.00000,0.27500,1.95863,0.21250,0.30439,0.07041,0.14180,0.71429,0.47206
adversarial_compound_shift,full_recoverability_score_v5,3,80,0.66250,0.26250,0.76190,0.00000,0.06250,0.33750,2.00753,0.26250,0.36596,0.09011,0.15162,0.71429,0.30877
adversarial_compound_shift,full_recoverability_score_v5,4,80,0.71250,0.23750,0.94737,0.00000,0.02500,0.28750,1.98150,0.23750,0.32463,0.07231,0.14390,0.71429,0.42336
adversarial_compound_shift,full_recoverability_score_v5,5,80,0.73750,0.20000,0.93750,0.00000,0.01250,0.26250,1.93855,0.20000,0.28727,0.06722,0.13654,0.57143,0.47554
adversarial_compound_shift,full_recoverability_score_v5,6,80,0.76250,0.17500,0.64286,0.00000,0.02500,0.23750,1.92357,0.17500,0.27020,0.06428,0.12858,0.57143,0.49549
adversarial_compound_shift,full_recoverability_score_v5,7,80,0.81250,0.12500,0.80000,0.00000,0.01250,0.17500,1.91168,0.12500,0.23755,0.06874,0.13853,0.71429,0.58332
adversarial_compound_shift,full_recoverability_score_v5,8,80,0.68750,0.21250,0.70588,0.00000,0.03750,0.31250,1.99887,0.21250,0.32940,0.08190,0.15344,0.71429,0.37322
adversarial_compound_shift,full_recoverability_score_v5,9,80,0.72500,0.15000,0.83333,0.00000,0.02500,0.27500,1.93568,0.15000,0.30067,0.06301,0.13133,0.71429,0.44390
adversarial_compound_shift,minus_recovery_success,0,80,0.80000,0.16250,0.92308,0.00000,0.01250,0.20000,1.89858,0.16250,0.25032,0.07443,0.14898,0.57143,0.56311
adversarial_compound_shift,minus_recovery_success,1,80,0.67500,0.22500,0.83333,0.00000,0.00000,0.32500,1.97702,0.22500,0.35698,0.07843,0.14825,0.71429,0.40309
adversarial_compound_shift,minus_recovery_success,2,80,0.73750,0.16250,0.84615,0.00000,0.05000,0.26250,1.94724,0.16250,0.29658,0.07649,0.14788,0.71429,0.42985
adversarial_compound_shift,minus_recovery_success,3,80,0.71250,0.17500,0.71429,0.01250,0.01250,0.27500,1.93777,0.16250,0.34575,0.09838,0.15988,0.71429,0.42435
adversarial_compound_shift,minus_recovery_success,4,80,0.67500,0.21250,0.70588,0.02500,0.02500,0.30000,1.95138,0.18750,0.35454,0.07470,0.14629,0.71429,0.34014
adversarial_compound_shift,minus_recovery_success,5,80,0.65000,0.28750,0.86957,0.00000,0.00000,0.35000,2.02935,0.28750,0.36901,0.07183,0.14115,0.57143,0.36515
adversarial_compound_shift,minus_recovery_success,6,80,0.80000,0.15000,0.75000,0.01250,0.01250,0.20000,1.90210,0.13750,0.24888,0.07407,0.13837,0.57143,0.54096
adversarial_compound_shift,minus_recovery_success,7,80,0.73750,0.18750,0.66667,0.00000,0.00000,0.26250,1.96079,0.18750,0.30550,0.07504,0.14482,0.71429,0.48876
adversarial_compound_shift,minus_recovery_success,8,80,0.65000,0.25000,0.80000,0.00000,0.02500,0.35000,2.01565,0.25000,0.36930,0.08784,0.15938,0.71429,0.33625
adversarial_compound_shift,minus_recovery_success,9,80,0.71250,0.17500,0.92857,0.00000,0.01250,0.28750,1.95057,0.17500,0.30852,0.06714,0.13546,0.71429,0.44083
adversarial_compound_shift,minus_recovery_cost,0,80,0.81250,0.16250,0.84615,0.00000,0.05000,0.18750,1.89127,0.16250,0.23763,0.07503,0.14958,0.57143,0.53557
adversarial_compound_shift,minus_recovery_cost,1,80,0.62500,0.31250,0.80000,0.00000,0.02500,0.37500,2.04747,0.31250,0.38897,0.06934,0.13917,0.57143,0.29995
adversarial_compound_shift,minus_recovery_cost,2,80,0.76250,0.18750,0.86667,0.00000,0.02500,0.23750,1.93936,0.18750,0.27106,0.06863,0.14002,0.71429,0.49423
adversarial_compound_shift,minus_recovery_cost,3,80,0.70000,0.20000,0.81250,0.00000,0.02500,0.30000,1.93787,0.20000,0.34765,0.08712,0.14863,0.71429,0.40997
adversarial_compound_shift,minus_recovery_cost,4,80,0.68750,0.21250,0.76471,0.00000,0.02500,0.31250,1.99215,0.21250,0.34816,0.07270,0.14428,0.71429,0.38875
adversarial_compound_shift,minus_recovery_cost,5,80,0.70000,0.22500,0.83333,0.00000,0.02500,0.30000,1.95740,0.22500,0.31609,0.06514,0.13446,0.57143,0.40841
adversarial_compound_shift,minus_recovery_cost,6,80,0.73750,0.21250,0.94118,0.00000,0.03750,0.26250,1.94703,0.21250,0.29949,0.06472,0.12902,0.57143,0.44486
adversarial_compound_shift,minus_recovery_cost,7,80,0.66250,0.27500,0.81818,0.00000,0.05000,0.33750,1.99748,0.27500,0.36360,0.06948,0.13927,0.71429,0.32458
adversarial_compound_shift,minus_recovery_cost,8,80,0.76250,0.15000,0.75000,0.01250,0.02500,0.22500,1.93360,0.13750,0.28090,0.07854,0.15008,0.71429,0.47719
adversarial_compound_shift,minus_recovery_cost,9,80,0.72500,0.16250,0.92308,0.00000,0.01250,0.27500,1.94230,0.16250,0.29741,0.05902,0.12734,0.71429,0.45837
adversarial_compound_shift,minus_irreversible_trap_penalty,0,80,0.81250,0.15000,0.91667,0.00000,0.02500,0.18750,1.86787,0.15000,0.25254,0.08480,0.15935,0.57143,0.56745
adversarial_compound_shift,minus_irreversible_trap_penalty,1,80,0.71250,0.23750,0.89474,0.00000,0.00000,0.28750,1.96248,0.23750,0.31358,0.08712,0.15695,0.57143,0.45488
adversarial_compound_shift,minus_irreversible_trap_penalty,2,80,0.75000,0.21250,0.88235,0.00000,0.01250,0.25000,1.94324,0.21250,0.28317,0.08109,0.15248,0.57143,0.49204
adversarial_compound_shift,minus_irreversible_trap_penalty,3,80,0.72500,0.20000,0.62500,0.00000,0.03750,0.27500,1.96878,0.20000,0.34049,0.10904,0.17055,0.71429,0.42625
adversarial_compound_shift,minus_irreversible_trap_penalty,4,80,0.81250,0.12500,0.70000,0.00000,0.02500,0.18750,1.90623,0.12500,0.25177,0.08762,0.15921,0.71429,0.56438
