stress_axis,stress_level,method,goal_success,ci95_success,recovery_success,irreversible_failure,damage,total_cost,safety_utility,rows
navigation,0.00,robust_margin_planner,0.21875,0.05001,0.75500,0.00000,0.01562,2.38031,-0.26386,320
navigation,0.00,contingent_replanner,0.96875,0.00913,1.00000,0.00000,0.00000,1.96255,0.80081,320
navigation,0.00,learned_failure_classifier,0.99062,0.00936,0.90000,0.00000,0.00313,1.74760,0.84488,320
navigation,0.00,learned_expected_utility,1.00000,0.00000,1.00000,0.00000,0.00000,1.71165,0.86307,320
navigation,0.00,cvar_recovery_planner,0.99062,0.01838,1.00000,0.00000,0.00000,1.78039,0.84491,320
navigation,0.00,recoverability_score_planner_v5,0.99375,0.00817,1.00000,0.00000,0.00000,1.76385,0.85045,320
navigation,0.00,oracle_recoverability_upper_bound,1.00000,0.00000,1.00000,0.00000,0.00000,1.70252,0.86380,320
navigation,0.25,robust_margin_planner,0.26875,0.06597,0.79333,0.00000,0.01250,2.34279,-0.18961,320
navigation,0.25,contingent_replanner,0.96562,0.01429,0.97500,0.00000,0.00000,1.97887,0.79638,320
navigation,0.25,learned_failure_classifier,0.98750,0.01000,0.76667,0.00000,0.00313,1.76143,0.84174,320
navigation,0.25,learned_expected_utility,0.99062,0.01307,0.96000,0.00000,0.00000,1.74525,0.84882,320
navigation,0.25,cvar_recovery_planner,0.97500,0.01780,0.97500,0.00000,0.00000,1.82801,0.82110,320
navigation,0.25,recoverability_score_planner_v5,0.99687,0.00612,1.00000,0.00000,0.00000,1.80326,0.85152,320
navigation,0.25,oracle_recoverability_upper_bound,0.99687,0.00612,0.96667,0.00000,0.00000,1.71539,0.85965,320
navigation,0.50,robust_margin_planner,0.21875,0.05001,0.61167,0.00000,0.03438,2.40010,-0.28795,320
navigation,0.50,contingent_replanner,0.91875,0.01871,0.96000,0.00000,0.00000,1.98646,0.73249,320
navigation,0.50,learned_failure_classifier,0.97813,0.01838,0.82167,0.00000,0.00000,1.77536,0.83282,320
navigation,0.50,learned_expected_utility,0.99062,0.01307,0.96000,0.00000,0.00313,1.75021,0.84576,320
navigation,0.50,cvar_recovery_planner,0.95000,0.02274,0.93000,0.00000,0.01250,1.85219,0.77151,320
navigation,0.50,recoverability_score_planner_v5,0.97813,0.01307,0.95000,0.00000,0.00313,1.82089,0.82324,320
navigation,0.50,oracle_recoverability_upper_bound,0.98750,0.01000,0.92167,0.00000,0.00313,1.73060,0.84421,320
navigation,0.75,robust_margin_planner,0.22500,0.05149,0.70333,0.00313,0.02813,2.39027,-0.27560,320
navigation,0.75,contingent_replanner,0.93437,0.02132,0.91667,0.00000,0.00313,1.99001,0.75064,320
navigation,0.75,learned_failure_classifier,0.96562,0.02492,0.88143,0.00000,0.00313,1.80446,0.81096,320
navigation,0.75,learned_expected_utility,0.97813,0.01838,0.90643,0.00000,0.00625,1.77226,0.82666,320
navigation,0.75,cvar_recovery_planner,0.96875,0.01581,0.96389,0.00000,0.00313,1.86636,0.80585,320
navigation,0.75,recoverability_score_planner_v5,0.96875,0.01581,0.95000,0.00000,0.00313,1.85078,0.80819,320
navigation,0.75,oracle_recoverability_upper_bound,0.98125,0.01633,0.89333,0.00000,0.00313,1.74794,0.83657,320
navigation,1.00,robust_margin_planner,0.20938,0.03770,0.68786,0.00313,0.04375,2.39251,-0.31562,320
navigation,1.00,contingent_replanner,0.90625,0.02237,0.85833,0.00000,0.00625,1.99722,0.71053,320
navigation,1.00,learned_failure_classifier,0.96250,0.02000,0.85643,0.00000,0.00313,1.80220,0.80801,320
navigation,1.00,learned_expected_utility,0.98438,0.01370,0.92143,0.00313,0.00625,1.78166,0.82778,320
navigation,1.00,cvar_recovery_planner,0.96875,0.01826,0.91333,0.00000,0.01250,1.85711,0.79643,320
navigation,1.00,recoverability_score_planner_v5,0.97188,0.01099,0.95833,0.00000,0.00313,1.83939,0.81332,320
navigation,1.00,oracle_recoverability_upper_bound,0.98438,0.01370,0.89643,0.00000,0.00313,1.75994,0.83983,320
navigation,1.25,robust_margin_planner,0.18438,0.04696,0.63853,0.00000,0.04063,2.44721,-0.34562,320
navigation,1.25,contingent_replanner,0.88438,0.03298,0.95143,0.00000,0.00313,2.04113,0.67905,320
navigation,1.25,learned_failure_classifier,0.96875,0.01581,0.87309,0.00000,0.00313,1.81403,0.81659,320
navigation,1.25,learned_expected_utility,0.98438,0.01370,0.93750,0.00000,0.00625,1.78628,0.83398,320
navigation,1.25,cvar_recovery_planner,0.95312,0.01882,0.92639,0.00000,0.01250,1.86499,0.77580,320
