stress_axis,stress_level,method,goal_success,ci95_success,recovery_success,irreversible_failure,damage,total_cost,safety_utility,rows
navigation,1.25,recoverability_score_planner_v5,0.94375,0.03742,0.88000,0.00000,0.00625,1.86141,0.77531,320
navigation,1.25,oracle_recoverability_upper_bound,0.96875,0.01826,0.82667,0.00000,0.00625,1.76887,0.81974,320
navigation,1.50,robust_margin_planner,0.18438,0.04870,0.62286,0.00937,0.03750,2.42184,-0.35296,320
navigation,1.50,contingent_replanner,0.84375,0.05402,0.97571,0.00000,0.00625,2.06549,0.61742,320
navigation,1.50,learned_failure_classifier,0.95625,0.02615,0.89750,0.00000,0.00625,1.82831,0.79592,320
navigation,1.50,learned_expected_utility,0.97188,0.02492,0.92825,0.00000,0.00937,1.80838,0.81267,320
navigation,1.50,cvar_recovery_planner,0.94375,0.01225,0.88750,0.00000,0.00937,1.88800,0.76506,320
navigation,1.50,recoverability_score_planner_v5,0.94063,0.01696,0.91412,0.00000,0.00625,1.89981,0.76473,320
navigation,1.50,oracle_recoverability_upper_bound,0.96562,0.01926,0.88456,0.00000,0.00937,1.78588,0.80822,320
slip,0.00,robust_margin_planner,0.29375,0.04492,0.76667,0.00000,0.00625,2.30036,-0.14497,320
slip,0.00,contingent_replanner,0.96562,0.02132,0.96667,0.00000,0.00000,1.95908,0.79796,320
slip,0.00,learned_failure_classifier,0.99687,0.00612,1.00000,0.00000,0.00000,1.75259,0.85557,320
slip,0.00,learned_expected_utility,0.99687,0.00612,0.95000,0.00000,0.00000,1.73052,0.85843,320
slip,0.00,cvar_recovery_planner,0.99375,0.01225,0.90000,0.00000,0.00313,1.81236,0.84282,320
slip,0.00,recoverability_score_planner_v5,0.99062,0.00936,0.90000,0.00000,0.00000,1.81014,0.84253,320
slip,0.00,oracle_recoverability_upper_bound,0.99687,0.00612,0.90000,0.00000,0.00000,1.71142,0.85996,320
slip,0.25,robust_margin_planner,0.22187,0.05120,0.72500,0.00313,0.01562,2.36458,-0.26276,320
slip,0.25,contingent_replanner,0.97188,0.01429,0.95000,0.00000,0.00000,1.97268,0.80531,320
slip,0.25,learned_failure_classifier,0.99062,0.01307,1.00000,0.00000,0.00000,1.75208,0.84718,320
slip,0.25,learned_expected_utility,0.98438,0.01021,0.95000,0.00000,0.00000,1.73351,0.84132,320
slip,0.25,cvar_recovery_planner,0.98438,0.01370,0.86667,0.00000,0.00313,1.80937,0.83150,320
slip,0.25,recoverability_score_planner_v5,0.98125,0.01354,1.00000,0.00000,0.00000,1.79169,0.83135,320
slip,0.25,oracle_recoverability_upper_bound,0.99375,0.00817,0.88000,0.00000,0.00000,1.71607,0.85647,320
slip,0.50,robust_margin_planner,0.23750,0.04001,0.72389,0.00625,0.02813,2.36835,-0.26134,320
slip,0.50,contingent_replanner,0.94375,0.02381,0.95000,0.00000,0.00625,1.99306,0.75712,320
slip,0.50,learned_failure_classifier,0.99375,0.01225,0.95000,0.00000,0.00000,1.76395,0.85154,320
slip,0.50,learned_expected_utility,0.99062,0.00936,0.93000,0.00000,0.00000,1.74982,0.84955,320
slip,0.50,cvar_recovery_planner,0.96562,0.02319,0.84667,0.00000,0.00000,1.82649,0.80857,320
slip,0.50,recoverability_score_planner_v5,0.95625,0.02916,0.87667,0.00000,0.00000,1.83532,0.79849,320
slip,0.50,oracle_recoverability_upper_bound,0.98750,0.01354,0.89167,0.00000,0.00000,1.73543,0.84867,320
slip,0.75,robust_margin_planner,0.29375,0.05018,0.83000,0.00000,0.01250,2.34075,-0.15570,320
slip,0.75,contingent_replanner,0.93437,0.03222,0.98333,0.00000,0.00625,1.98032,0.74548,320
slip,0.75,learned_failure_classifier,0.98750,0.01354,0.97500,0.00000,0.00313,1.78422,0.83773,320
slip,0.75,learned_expected_utility,0.99062,0.00936,0.92500,0.00000,0.00000,1.74981,0.84955,320
slip,0.75,cvar_recovery_planner,0.93125,0.01780,0.91000,0.00313,0.01562,1.85973,0.73966,320
slip,0.75,recoverability_score_planner_v5,0.95000,0.02769,0.95667,0.00000,0.00937,1.84481,0.78023,320
slip,0.75,oracle_recoverability_upper_bound,0.97813,0.02246,0.90167,0.00000,0.00625,1.74937,0.82958,320
slip,1.00,robust_margin_planner,0.22500,0.03629,0.86556,0.00000,0.03438,2.38741,-0.27849,320
slip,1.00,contingent_replanner,0.90938,0.03090,0.93417,0.00000,0.01562,2.00312,0.70194,320
slip,1.00,learned_failure_classifier,0.98750,0.01000,0.98333,0.00000,0.00313,1.78553,0.83763,320
slip,1.00,learned_expected_utility,0.98438,0.01370,0.95500,0.00000,0.00313,1.76437,0.83729,320
slip,1.00,cvar_recovery_planner,0.94688,0.02747,0.90583,0.00313,0.02187,1.86622,0.75711,320
slip,1.00,recoverability_score_planner_v5,0.92188,0.02623,0.86905,0.00000,0.03125,1.87464,0.71690,320
slip,1.00,oracle_recoverability_upper_bound,0.96875,0.02042,0.88667,0.00000,0.01250,1.75527,0.81005,320
slip,1.25,robust_margin_planner,0.24688,0.03589,0.68952,0.00625,0.03438,2.37084,-0.25639,320
slip,1.25,contingent_replanner,0.88125,0.03136,0.94643,0.00000,0.02187,2.01303,0.65677,320
slip,1.25,learned_failure_classifier,0.98125,0.01354,0.94643,0.00000,0.00937,1.80300,0.82357,320
slip,1.25,learned_expected_utility,0.95937,0.02246,0.91905,0.00000,0.02187,1.78075,0.78520,320
slip,1.25,cvar_recovery_planner,0.91563,0.02246,0.88976,0.00000,0.03438,1.87888,0.70875,320
slip,1.25,recoverability_score_planner_v5,0.94688,0.02246,0.94643,0.00000,0.01875,1.86816,0.76398,320
slip,1.25,oracle_recoverability_upper_bound,0.95625,0.02082,0.87472,0.00000,0.02187,1.77873,0.78442,320
slip,1.50,robust_margin_planner,0.21875,0.05245,0.71726,0.00313,0.04688,2.39580,-0.30588,320
slip,1.50,contingent_replanner,0.88125,0.05229,0.97571,0.00000,0.02813,2.02126,0.64970,320
slip,1.50,learned_failure_classifier,0.97500,0.01225,1.00000,0.00000,0.00625,1.80125,0.81684,320
slip,1.50,learned_expected_utility,0.96250,0.02709,0.88516,0.00000,0.02500,1.78131,0.79000,320
slip,1.50,cvar_recovery_planner,0.92188,0.03681,0.86071,0.00313,0.02500,1.88639,0.71581,320
slip,1.50,recoverability_score_planner_v5,0.88750,0.04762,0.89960,0.00000,0.02813,1.90597,0.67721,320
slip,1.50,oracle_recoverability_upper_bound,0.95312,0.01882,0.92143,0.00000,0.02813,1.77482,0.77411,320
trap,0.00,robust_margin_planner,0.16875,0.04398,0.68167,0.00000,0.01250,2.38360,-0.32788,320
trap,0.00,contingent_replanner,0.93750,0.02416,0.96667,0.00000,0.00313,1.97819,0.75362,320
trap,0.00,learned_failure_classifier,1.00000,0.00000,1.00000,0.00000,0.00000,1.75866,0.85931,320
trap,0.00,learned_expected_utility,0.99062,0.00936,0.90000,0.00000,0.00000,1.72473,0.85046,320
trap,0.00,cvar_recovery_planner,0.97813,0.01307,1.00000,0.00000,0.00000,1.81962,0.82490,320
trap,0.00,recoverability_score_planner_v5,0.95625,0.02916,1.00000,0.00000,0.00000,1.82686,0.79479,320
trap,0.00,oracle_recoverability_upper_bound,0.98750,0.01354,0.95000,0.00000,0.00313,1.71798,0.84194,320
trap,0.25,robust_margin_planner,0.15625,0.04184,0.51667,0.00313,0.02187,2.39955,-0.36165,320
trap,0.25,contingent_replanner,0.89062,0.04938,0.94667,0.00000,0.00625,1.98205,0.68737,320
trap,0.25,learned_failure_classifier,0.97188,0.01429,0.96667,0.00000,0.00000,1.78183,0.82058,320
trap,0.25,learned_expected_utility,0.97500,0.01780,0.87500,0.00000,0.00000,1.74415,0.82891,320
trap,0.25,cvar_recovery_planner,0.94688,0.03298,0.91667,0.00000,0.00625,1.83945,0.77472,320
trap,0.25,recoverability_score_planner_v5,0.95312,0.02777,0.95000,0.00000,0.00000,1.82300,0.79088,320
trap,0.25,oracle_recoverability_upper_bound,0.98438,0.01021,1.00000,0.00000,0.00000,1.71793,0.84147,320
trap,0.50,robust_margin_planner,0.16250,0.04164,0.59119,0.00000,0.02187,2.39224,-0.34825,320
trap,0.50,contingent_replanner,0.93750,0.01291,0.78333,0.00000,0.00625,1.97559,0.75117,320
trap,0.50,learned_failure_classifier,0.97188,0.01429,1.00000,0.00000,0.00000,1.78541,0.81920,320
trap,0.50,learned_expected_utility,0.97188,0.02654,0.92500,0.00000,0.00000,1.75283,0.82180,320
trap,0.50,cvar_recovery_planner,0.95937,0.01838,0.90000,0.00000,0.00313,1.84682,0.79366,320
trap,0.50,recoverability_score_planner_v5,0.95000,0.02615,0.85833,0.00313,0.00313,1.83677,0.77743,320
trap,0.50,oracle_recoverability_upper_bound,0.97813,0.01307,0.95000,0.00000,0.00313,1.72012,0.83020,320
trap,0.75,robust_margin_planner,0.17500,0.03317,0.52048,0.00000,0.02187,2.39270,-0.33142,320
trap,0.75,contingent_replanner,0.90938,0.02807,0.88833,0.00000,0.00313,1.99801,0.71516,320
trap,0.75,learned_failure_classifier,0.97813,0.01307,1.00000,0.00000,0.00000,1.77905,0.82814,320
trap,0.75,learned_expected_utility,0.98438,0.01370,0.93333,0.00000,0.00000,1.75385,0.83860,320
trap,0.75,cvar_recovery_planner,0.92188,0.02923,0.92500,0.00000,0.00937,1.86658,0.73505,320
trap,0.75,recoverability_score_planner_v5,0.93125,0.02709,0.91667,0.00000,0.00625,1.86078,0.75192,320
trap,0.75,oracle_recoverability_upper_bound,0.99062,0.00936,0.96667,0.00000,0.00313,1.72520,0.84667,320
trap,1.00,robust_margin_planner,0.17813,0.04287,0.56417,0.00313,0.01562,2.37455,-0.32262,320
trap,1.00,contingent_replanner,0.91250,0.02381,0.88500,0.00000,0.00937,1.98880,0.71480,320
trap,1.00,learned_failure_classifier,0.98125,0.01633,0.96667,0.00000,0.00000,1.78322,0.83203,320
trap,1.00,learned_expected_utility,0.98125,0.01871,0.98000,0.00000,0.00000,1.75697,0.83522,320
trap,1.00,cvar_recovery_planner,0.94063,0.03090,0.85000,0.00000,0.00625,1.86429,0.76320,320
trap,1.00,recoverability_score_planner_v5,0.95000,0.02082,0.97500,0.00000,0.00000,1.83966,0.78533,320
trap,1.00,oracle_recoverability_upper_bound,0.98750,0.01000,0.96667,0.00000,0.00313,1.72741,0.84118,320
trap,1.25,robust_margin_planner,0.14375,0.02082,0.58214,0.00625,0.01875,2.39973,-0.38135,320
trap,1.25,contingent_replanner,0.89375,0.04302,0.88750,0.00000,0.00625,1.98567,0.69130,320
trap,1.25,learned_failure_classifier,0.96250,0.01780,0.93333,0.00000,0.00000,1.78532,0.80764,320
trap,1.25,learned_expected_utility,0.96875,0.01826,0.90000,0.00000,0.00000,1.75520,0.81849,320
trap,1.25,cvar_recovery_planner,0.94063,0.03222,0.88000,0.00000,0.00625,1.85034,0.76432,320
trap,1.25,recoverability_score_planner_v5,0.93437,0.02654,0.96000,0.00000,0.00000,1.84092,0.76523,320
trap,1.25,oracle_recoverability_upper_bound,0.97500,0.01225,0.91667,0.00000,0.00625,1.73872,0.82184,320
trap,1.50,robust_margin_planner,0.15625,0.02237,0.67197,0.00937,0.02187,2.40198,-0.37169,320
trap,1.50,contingent_replanner,0.87187,0.04129,0.93417,0.00000,0.00313,2.02702,0.66112,320
trap,1.50,learned_failure_classifier,0.95625,0.02615,0.95000,0.00313,0.00313,1.81358,0.78773,320
trap,1.50,learned_expected_utility,0.97813,0.01307,0.91667,0.00000,0.00000,1.75062,0.83261,320
trap,1.50,cvar_recovery_planner,0.94688,0.02424,0.93889,0.00000,0.00313,1.86919,0.77609,320
trap,1.50,recoverability_score_planner_v5,0.90625,0.03163,0.95000,0.00000,0.00313,1.88249,0.71909,320
trap,1.50,oracle_recoverability_upper_bound,0.97188,0.01696,0.97500,0.00000,0.00000,1.74159,0.82380,320
sensor,0.00,robust_margin_planner,0.21875,0.02739,0.59333,0.00313,0.00937,2.36038,-0.25914,320
sensor,0.00,contingent_replanner,0.91250,0.02381,0.98000,0.00000,0.00313,2.01001,0.71842,320
sensor,0.00,learned_failure_classifier,0.99375,0.00817,0.90000,0.00000,0.00313,1.77820,0.84665,320
sensor,0.00,learned_expected_utility,0.97813,0.01307,0.90000,0.00000,0.00625,1.75485,0.82586,320
sensor,0.00,cvar_recovery_planner,0.95937,0.01595,0.87500,0.00000,0.00625,1.84870,0.79304,320
sensor,0.00,recoverability_score_planner_v5,0.98125,0.01633,0.92500,0.00000,0.00625,1.82525,0.82226,320
sensor,0.00,oracle_recoverability_upper_bound,0.98750,0.01000,0.88000,0.00000,0.00313,1.73453,0.84389,320
sensor,0.25,robust_margin_planner,0.22187,0.03349,0.66190,0.00313,0.03125,2.36488,-0.28263,320
sensor,0.25,contingent_replanner,0.90312,0.02492,0.98000,0.00000,0.00313,2.01271,0.70445,320
sensor,0.25,learned_failure_classifier,0.97188,0.01099,0.91667,0.00000,0.00313,1.78322,0.81672,320
sensor,0.25,learned_expected_utility,0.96875,0.01826,0.82500,0.00000,0.01250,1.75410,0.80686,320
sensor,0.25,cvar_recovery_planner,0.95937,0.01838,0.76000,0.00000,0.00313,1.83093,0.79821,320
sensor,0.25,recoverability_score_planner_v5,0.95625,0.02082,0.91667,0.00000,0.00313,1.82944,0.79302,320
sensor,0.25,oracle_recoverability_upper_bound,0.97813,0.01838,0.88333,0.00000,0.00313,1.72959,0.83163,320
sensor,0.50,robust_margin_planner,0.25312,0.05513,0.60119,0.00313,0.01875,2.33703,-0.22212,320
sensor,0.50,contingent_replanner,0.94688,0.01837,0.95000,0.00000,0.00313,1.95893,0.76891,320
sensor,0.50,learned_failure_classifier,0.97813,0.01307,0.96667,0.00000,0.00000,1.78570,0.82871,320
sensor,0.50,learned_expected_utility,0.97813,0.02424,0.86667,0.00000,0.00937,1.76035,0.82276,320
sensor,0.50,cvar_recovery_planner,0.95312,0.02283,0.78833,0.00000,0.01250,1.84261,0.77650,320
sensor,0.50,recoverability_score_planner_v5,0.96562,0.02319,0.83833,0.00000,0.01250,1.83478,0.79290,320
sensor,0.50,oracle_recoverability_upper_bound,0.99062,0.00936,0.88000,0.00000,0.00313,1.73056,0.84843,320
sensor,0.75,robust_margin_planner,0.17188,0.04307,0.69667,0.00313,0.02187,2.39615,-0.34029,320
sensor,0.75,contingent_replanner,0.90625,0.02739,0.86667,0.00000,0.01250,1.98931,0.70148,320
sensor,0.75,learned_failure_classifier,0.97500,0.02199,0.96667,0.00000,0.00313,1.78951,0.82043,320
sensor,0.75,learned_expected_utility,0.97500,0.01528,0.89333,0.00000,0.00625,1.76211,0.81997,320
sensor,0.75,cvar_recovery_planner,0.97188,0.01429,0.90000,0.00000,0.00625,1.83583,0.80876,320
sensor,0.75,recoverability_score_planner_v5,0.94688,0.01595,0.80500,0.00000,0.00625,1.85033,0.77604,320
sensor,0.75,oracle_recoverability_upper_bound,0.98438,0.01370,0.82500,0.00000,0.00625,1.72865,0.83530,320
sensor,1.00,robust_margin_planner,0.15000,0.05463,0.58643,0.00313,0.02813,2.42197,-0.37938,320
sensor,1.00,contingent_replanner,0.91875,0.02274,0.92500,0.00000,0.00313,1.95856,0.73207,320
sensor,1.00,learned_failure_classifier,0.97500,0.01780,0.95000,0.00000,0.00000,1.79187,0.82400,320
sensor,1.00,learned_expected_utility,0.98750,0.01633,0.86667,0.00000,0.00625,1.76659,0.83758,320
sensor,1.00,cvar_recovery_planner,0.94375,0.01780,0.80000,0.00000,0.00313,1.85835,0.77165,320
sensor,1.00,recoverability_score_planner_v5,0.96562,0.01429,0.87500,0.00000,0.00313,1.83164,0.80441,320
sensor,1.00,oracle_recoverability_upper_bound,0.98750,0.01000,0.87500,0.00000,0.00313,1.73383,0.84395,320
sensor,1.25,robust_margin_planner,0.26250,0.05340,0.65000,0.00313,0.01875,2.32780,-0.20872,320
sensor,1.25,contingent_replanner,0.90938,0.03090,0.80500,0.00000,0.00313,1.95427,0.71975,320
sensor,1.25,learned_failure_classifier,0.98125,0.01354,0.86667,0.00000,0.00000,1.79361,0.83339,320
sensor,1.25,learned_expected_utility,0.98125,0.01633,0.86667,0.00000,0.00625,1.75747,0.83096,320
sensor,1.25,cvar_recovery_planner,0.91875,0.01354,0.77500,0.00000,0.00625,1.86971,0.73433,320
sensor,1.25,recoverability_score_planner_v5,0.93750,0.03028,0.72048,0.00313,0.01562,1.86003,0.74588,320
sensor,1.25,oracle_recoverability_upper_bound,0.97813,0.01307,0.83000,0.00000,0.00313,1.73368,0.83240,320
sensor,1.50,robust_margin_planner,0.22500,0.05229,0.54167,0.00313,0.02813,2.35798,-0.27301,320
sensor,1.50,contingent_replanner,0.92812,0.02895,0.95000,0.00000,0.00313,1.94914,0.74329,320
sensor,1.50,learned_failure_classifier,0.98438,0.01370,0.83333,0.00000,0.00000,1.79423,0.83755,320
sensor,1.50,learned_expected_utility,0.97188,0.01696,0.85000,0.00000,0.00625,1.75497,0.81851,320
sensor,1.50,cvar_recovery_planner,0.92500,0.03056,0.83667,0.00000,0.00313,1.86087,0.74723,320
sensor,1.50,recoverability_score_planner_v5,0.91250,0.01780,0.65738,0.00000,0.01875,1.86714,0.71438,320
sensor,1.50,oracle_recoverability_upper_bound,0.98750,0.01000,0.88000,0.00000,0.00313,1.72933,0.84431,320
budget,0.00,robust_margin_planner,0.44375,0.04164,0.56333,0.00313,0.02500,2.37691,0.02453,320
budget,0.00,contingent_replanner,0.94375,0.03513,0.82500,0.00000,0.00313,1.96549,0.76745,320
budget,0.00,learned_failure_classifier,0.98438,0.01370,0.92167,0.00000,0.00000,1.78710,0.83922,320
budget,0.00,learned_expected_utility,0.98750,0.01354,0.87500,0.00000,0.00313,1.76578,0.83921,320
budget,0.00,cvar_recovery_planner,0.96250,0.02381,0.91333,0.00000,0.00625,1.84167,0.79673,320
budget,0.00,recoverability_score_planner_v5,0.95312,0.02458,0.81333,0.00000,0.01250,1.83967,0.77783,320
budget,0.00,oracle_recoverability_upper_bound,0.98125,0.01633,0.82500,0.00000,0.00625,1.73987,0.83456,320
budget,0.25,robust_margin_planner,0.23750,0.06001,0.65500,0.00000,0.01562,2.36391,-0.23724,320
budget,0.25,contingent_replanner,0.92812,0.02591,0.91667,0.00000,0.00313,1.98638,0.74140,320
budget,0.25,learned_failure_classifier,0.95312,0.02458,0.81810,0.00000,0.00000,1.79582,0.79852,320
budget,0.25,learned_expected_utility,0.97813,0.02052,0.90667,0.00000,0.00625,1.76520,0.82394,320
budget,0.25,cvar_recovery_planner,0.95625,0.02082,0.94167,0.00313,0.00313,1.84891,0.78599,320
budget,0.25,recoverability_score_planner_v5,0.95937,0.02747,0.92167,0.00000,0.00313,1.84777,0.79358,320
budget,0.25,oracle_recoverability_upper_bound,0.97813,0.01595,0.86667,0.00000,0.00313,1.74010,0.83079,320
budget,0.50,robust_margin_planner,0.17500,0.03895,0.71333,0.00000,0.01250,2.35285,-0.31698,320
budget,0.50,contingent_replanner,0.84375,0.04744,0.92167,0.00000,0.00313,1.96944,0.62776,320
budget,0.50,learned_failure_classifier,0.92500,0.02274,0.90000,0.00000,0.00313,1.80009,0.75428,320
budget,0.50,learned_expected_utility,0.93750,0.02042,0.91667,0.00000,0.00313,1.77500,0.77206,320
budget,0.50,cvar_recovery_planner,0.90625,0.03536,0.96000,0.00000,0.00313,1.84785,0.72186,320
budget,0.50,recoverability_score_planner_v5,0.89375,0.03895,0.89000,0.00313,0.00937,1.84249,0.69463,320
budget,0.50,oracle_recoverability_upper_bound,0.92500,0.02916,0.85833,0.00000,0.00625,1.75013,0.75233,320
budget,0.75,robust_margin_planner,0.14688,0.02747,0.62667,0.00000,0.02500,2.39371,-0.37322,320
budget,0.75,contingent_replanner,0.56875,0.03742,0.93333,0.00313,0.00625,1.98638,0.24703,320
budget,0.75,learned_failure_classifier,0.88125,0.04547,0.84333,0.00000,0.00313,1.79384,0.69462,320
budget,0.75,learned_expected_utility,0.88438,0.03879,0.92500,0.00000,0.00313,1.77356,0.69827,320
budget,0.75,cvar_recovery_planner,0.85938,0.03901,0.80000,0.00313,0.01875,1.84275,0.63696,320
budget,0.75,recoverability_score_planner_v5,0.88438,0.02895,0.94643,0.00000,0.00313,1.82032,0.69453,320
budget,0.75,oracle_recoverability_upper_bound,0.91875,0.02274,0.77667,0.00000,0.00625,1.74503,0.74321,320
budget,1.00,robust_margin_planner,0.12812,0.03703,0.59917,0.00000,0.02813,2.40351,-0.40306,320
budget,1.00,contingent_replanner,0.39062,0.04678,0.88500,0.00000,0.00625,1.99730,0.01006,320
budget,1.00,learned_failure_classifier,0.78125,0.04744,0.86833,0.00000,0.00625,1.80664,0.55266,320
budget,1.00,learned_expected_utility,0.83437,0.05558,0.90000,0.00000,0.00625,1.77677,0.62677,320
budget,1.00,cvar_recovery_planner,0.79375,0.05181,0.85000,0.00000,0.00625,1.80911,0.56933,320
budget,1.00,recoverability_score_planner_v5,0.79375,0.05261,0.79667,0.00000,0.01250,1.81286,0.56153,320
budget,1.00,oracle_recoverability_upper_bound,0.91250,0.01780,0.81667,0.00000,0.00625,1.73931,0.73523,320
budget,1.25,robust_margin_planner,0.14375,0.03560,0.38167,0.00000,0.01875,2.37393,-0.36835,320
budget,1.25,contingent_replanner,0.20312,0.04006,0.96667,0.00000,0.00313,2.01157,-0.24046,320
budget,1.25,learned_failure_classifier,0.60938,0.05935,0.81333,0.00000,0.00000,1.80068,0.32860,320
budget,1.25,learned_expected_utility,0.66563,0.06060,0.91750,0.00000,0.00625,1.79139,0.39778,320
budget,1.25,cvar_recovery_planner,0.58750,0.06697,0.75833,0.00000,0.00937,1.81393,0.28676,320
budget,1.25,recoverability_score_planner_v5,0.63750,0.06966,0.80000,0.00000,0.00937,1.79705,0.35561,320
budget,1.25,oracle_recoverability_upper_bound,0.78438,0.05038,0.81000,0.00000,0.00625,1.74658,0.56168,320
budget,1.50,robust_margin_planner,0.11250,0.04204,0.61667,0.00000,0.03438,2.37032,-0.42900,320
budget,1.50,contingent_replanner,0.09688,0.02952,0.93500,0.00000,0.00313,1.98347,-0.38165,320
budget,1.50,learned_failure_classifier,0.30625,0.05973,0.82167,0.00000,0.00625,1.79130,-0.08737,320
budget,1.50,learned_expected_utility,0.31250,0.06833,0.93833,0.00000,0.00625,1.77436,-0.07757,320
budget,1.50,cvar_recovery_planner,0.26875,0.05789,0.83833,0.00000,0.01250,1.79329,-0.14565,320
budget,1.50,recoverability_score_planner_v5,0.25938,0.05328,0.76667,0.00000,0.02187,1.80069,-0.17015,320
budget,1.50,oracle_recoverability_upper_bound,0.35625,0.05861,0.87667,0.00000,0.00313,1.74341,-0.01229,320
combined,0.00,robust_margin_planner,0.68750,0.05846,0.80500,0.00000,0.00625,2.33228,0.38623,320
combined,0.00,contingent_replanner,1.00000,0.00000,1.00000,0.00000,0.00000,1.97331,0.84214,320
combined,0.00,learned_failure_classifier,0.99687,0.00612,0.90000,0.00000,0.00313,1.73205,0.85456,320
combined,0.00,learned_expected_utility,1.00000,0.00000,1.00000,0.00000,0.00000,1.70693,0.86344,320
combined,0.00,cvar_recovery_planner,0.99687,0.00612,0.90000,0.00000,0.00313,1.78650,0.84911,320
combined,0.00,recoverability_score_planner_v5,1.00000,0.00000,1.00000,0.00000,0.00000,1.76802,0.85856,320
